X1,X2,X3,X4,X5,X6,Tavg,SNavg,Trip,SNrip
16.0,120.0,1.0,0.6,2.0,1.5,1619.865499121619,64.18957911289826,0.5968160743811304,4.483189765633614
16.0,130.0,1.25,0.7,2.25,1.75,1599.4452624118821,64.07938763752105,0.5816907451201264,4.70615691812699
16.0,140.0,1.5,0.8,2.5,2.0,1527.2023874007252,63.677931885948865,0.644367396614693,3.8173288383196162
16.0,150.0,1.75,0.9,2.75,2.25,1513.9195624743916,63.602056017131304,0.6644682881115425,3.5505148204386945
16.0,160.0,2.0,1.0,3.0,2.5,1407.7690363614745,62.97062817479257,0.696904752706587,3.1365314739238497
16.5,120.0,1.25,0.8,2.75,2.5,1436.3351630227357,63.14511585198545,0.6500645433774898,3.7408704228018586
16.5,130.0,1.5,0.9,3.0,1.5,1655.6427192816298,64.3793324728268,0.45785360121920915,6.785467310947056
16.5,140.0,1.75,1.0,2.0,1.75,1660.6477445081873,64.40555039929336,0.6519576229230051,3.715612647595246
16.5,150.0,2.0,0.6,2.25,2.0,1710.1494971053116,64.66068154035756,0.6723876965814926,3.4476048384898874
16.5,160.0,1.0,0.7,2.5,2.25,1617.286744292834,64.17574053942367,0.7379766132426253,2.6391480182982803
17.0,120.0,1.5,1.0,2.25,2.25,1549.140263877207,63.80181483768955,0.6669714052029944,3.517855700342331
17.0,130.0,1.75,0.6,2.5,2.5,1581.1308973475186,63.97935650860643,0.6831935139735291,3.309125307120982
17.0,140.0,2.0,0.7,2.75,1.5,1777.5744382670914,64.99655592870263,0.4997110188961207,6.025621480509054
17.0,150.0,1.0,0.8,3.0,1.75,1693.9700513860166,64.57811455870406,0.6423705597412944,3.844287425412123
17.0,160.0,1.25,0.9,2.0,2.0,1738.103909095062,64.80151472646077,0.7330418425352895,2.6974246964396364
17.5,120.0,1.75,0.7,3.0,2.0,1587.2684261706895,64.01300754766119,0.5024072572400544,5.978881917401849
17.5,130.0,2.0,0.8,2.0,2.25,1697.6912336003224,64.59717412172635,0.6864372563381769,3.26798306428877
17.5,140.0,1.0,0.9,2.25,2.5,1672.9686571118357,64.46975609156246,0.7460733108139901,2.5443699138799043
17.5,150.0,1.25,1.0,2.5,1.5,1860.8445445191942,65.39420187124011,0.5494720723761891,5.201087525087875
17.5,160.0,1.5,0.6,2.75,1.75,1841.2973705990748,65.30247865960867,0.5374635175669634,5.393020196882778
18.0,120.0,2.0,0.9,2.5,1.75,1760.2455575975684,64.91146513890487,0.5101062094104087,5.846787797313409
18.0,130.0,1.0,1.0,2.75,2.0,1701.2192009367786,64.61520551533103,0.6594354982119549,3.616553559307338
18.0,140.0,1.25,0.6,3.0,2.25,1714.9664707512811,64.68511267171519,0.6120016082455478,4.264948731884552
18.0,150.0,1.5,0.7,2.0,2.5,1826.3133852083095,65.23150604215711,0.7474271915157455,2.5286221299836753
18.0,160.0,1.75,0.8,2.25,1.5,2026.9742684458556,66.13696471097998,0.5428142317060571,5.306975487365269
