X1,X2,X3,X4,X5,X6,Tavg,SNavg,Trip,SNrip
16.0,120.0,1.0,0.6,2.0,1.5,652.8209581434733,56.29588177091961,0.42959960208585746,7.338722591421245
16.0,130.0,1.25,0.7,2.25,1.75,643.1034309028341,56.16561653027126,0.4661941075906306,6.628664399965922
16.0,140.0,1.5,0.8,2.5,2.0,617.5377890394938,55.81327077123912,0.5449855417794939,5.272300384143276
16.0,150.0,1.75,0.9,2.75,2.25,615.7342460629804,55.787866179270594,0.5646198445390909,4.964877237832026
16.0,160.0,2.0,1.0,3.0,2.5,573.9857448827523,55.17802213382582,0.590891694916596,4.569842281206855
16.5,120.0,1.25,0.8,2.75,2.5,606.5805624335246,55.657769789024236,0.4837785737343987,6.307067403855609
16.5,130.0,1.5,0.9,3.0,1.5,685.5025535678533,56.72018153840742,0.46160026728538045,6.714678967560702
16.5,140.0,1.75,1.0,2.0,1.75,670.6293875055109,56.529651612689236,0.5172105567768972,5.726652386460746
16.5,150.0,2.0,0.6,2.25,2.0,676.4663060483092,56.604923396005724,0.5537709820778204,5.133396105563226
16.5,160.0,1.0,0.7,2.5,2.25,669.1070329136382,56.50991189454072,0.6276281123717045,4.045952239418083
17.0,120.0,1.5,1.0,2.25,2.25,660.3610875341101,56.39562948178748,0.5122055546903262,5.811114321401893
17.0,130.0,1.75,0.6,2.5,2.5,652.4542520874899,56.291001315992226,0.5584962298815446,5.059595084706663
17.0,140.0,2.0,0.7,2.75,1.5,722.9564106080235,57.18224226115788,0.5433351520065337,5.298643932507464
17.0,150.0,1.0,0.8,3.0,1.75,700.0576470641256,56.90267607945708,0.7137279835783206,2.929345505091269
17.0,160.0,1.25,0.9,2.0,2.0,707.3462084604764,56.99264059905595,0.6661367234917248,3.528732468727922
17.5,120.0,1.75,0.7,3.0,2.0,658.4080759171511,56.369902984325606,0.4577573343448993,6.787293771109686
17.5,130.0,2.0,0.8,2.0,2.25,700.137061953363,56.90366135523313,0.6167005744343403,4.198512940877245
17.5,140.0,1.0,0.9,2.25,2.5,702.8437365422521,56.93717557860373,0.6665272877456525,3.5236413158571183
17.5,150.0,1.25,1.0,2.5,1.5,779.5536296911641,57.83691996016395,0.610260239740808,4.289698493828109
17.5,160.0,1.5,0.6,2.75,1.75,746.6511222464503,57.462354443909746,0.5840341415484008,4.671235281975569
18.0,120.0,2.0,0.9,2.5,1.75,720.0462818261092,57.147208242394925,0.5762578918972312,4.7876622772884305
18.0,130.0,1.0,1.0,2.75,2.0,732.385320080846,57.29479261451078,0.6159008416100521,4.209784049178781
18.0,140.0,1.25,0.6,3.0,2.25,698.1121991307145,56.87850454264792,0.6246633062228605,4.087080089914964
18.0,150.0,1.5,0.7,2.0,2.5,765.9190146805361,57.6836570287685,0.7543518398862885,2.448520921302115
18.0,160.0,1.75,0.8,2.25,1.5,816.403775342627,58.23810008762929,0.6634398945587003,3.563968332973472
