X1,X2,X3,X4,X5,X6,ANG,AVG,RIP
19.17022004702574,133.22,1.0003431244520347,1.9069977178955193,1.0,1.59,-44.0,-1123.673,71.341
16.86260211377671,110.73,2.19030242269201,2.616450202010071,1.0,2.19,-45.0,-789.604,51.559
17.044522497315175,142.69,1.0821627795937785,3.011402530535207,1.0,2.06,-45.0,-906.982,60.533
16.403869385952337,101.89,3.40223370602661,3.9047847271581926,1.0,2.19,-45.0,-737.269,44.047
23.763891522960385,143.68,1.2551326341093336,1.1171643496986472,1.0,2.38,-43.0,-1645.727,72.121
15.983468338330502,115.27,3.873668590451506,2.599495854919051,1.0,1.82,-45.0,-739.064,46.593
21.865009276815837,140.08,1.0548648320325755,3.2504329448349023,1.0,2.25,-44.0,-1421.994,74.808
17.80443992064405,137.36,1.309678019732926,2.3436805785277155,1.0,1.79,-45.0,-976.923,63.501
17.877753385863485,97.8,1.0581008736108912,3.036506598819673,1.0,1.77,-45.0,-839.756,53.941
19.915731592803382,93.2,2.722352816476039,1.4401857247174306,1.0,2.2,-44.0,-1012.714,62.807
16.02334428827826,114.84,3.0832004731832354,2.2425378085807077,1.0,2.04,-45.0,-743.11,46.495
21.637946452197887,120.89,3.1,2.7596651215059786,1.0,1.64,-44.0,-1332.648,68.369
16.392763472507585,138.44,2.193030510956601,1.4960625913507983,1.0,1.85,-45.0,-873.609,49.734
22.508121031361554,133.56,2.99,2.8710166211668264,1.0,1.85,-44.0,-1458.071,71.408
17.69927891765026,143.75,2.2842735696138847,3.894520141445157,1.0,2.12,-45.0,-980.862,63.88
16.14745972953375,146.97,2.349736400439822,2.735168843161395,1.0,1.74,-45.0,-829.885,56.081
24.03379520562254,124.42,1.008610981093477,2.851434740862172,1.0,2.03,-44.0,-1568.175,69.119
23.859420993107747,111.44,2.87,2.870080347375408,1.0,2.43,-44.0,-1500.949,65.4
21.90896917516924,149.84,1.5170215250359855,1.4114072488866332,1.0,2.2,-43.0,-1477.78,75.414
15.660001727220624,135.33,3.261628565383739,3.76907360663945,1.0,1.62,-45.0,-765.781,52.93
15.198801338397956,91.57,1.0849194640623838,1.7386332028091376,1.0,2.04,-46.0,-588.027,53.524
20.528219786857658,140.52,1.3725199453597334,1.8375510370334185,1.0,2.47,-44.0,-1269.985,77.852
20.6103021925571,91.12,3.34,1.6989228215230612,1.0,1.89,-44.0,-1076.337,61.811
23.635418545594288,134.83,2.6687207019712567,1.409365676982055,1.0,1.62,-43.0,-1576.812,67.577
15.445518785447618,96.45,1.677128015823564,3.13896694114803,1.0,1.51,-45.0,-642.7,49.09
15.719742796894868,148.04,2.7043013857598264,1.6098797039829713,1.0,2.24,-45.0,-799.985,56.04
16.954294811093188,124.88,3.910059967264937,3.540486404470106,1.0,1.99,-45.0,-856.131,53.388
21.1995571838138,139.74,1.4703741839382527,1.0557286065322287,1.0,1.99,-44.0,-1367.622,73.358
21.063294616533305,124.13,1.9520872279664823,3.9658484632373465,1.0,1.88,-44.0,-1270.304,72.046
20.509482191178968,134.72,3.007698680359554,1.7947586729884282,1.0,1.87,-44.0,-1257.137,72.628
21.297175070215644,102.61,3.2582666612164415,1.1996094440623448,1.0,2.3,-44.0,-1194.562,66.525
16.934342826233276,128.37,2.574010927371201,3.774423911198052,1.0,1.57,-45.0,-859.876,55.144
22.350659632886696,136.33,2.99,3.795916207590512,1.0,1.73,-44.0,-1451.001,71.893
21.167783570016574,146.94,3.29,2.6699595645854695,1.0,2.14,-44.0,-1352.755,76.987
18.900077141412464,119.16,2.8129314487599197,2.648643764525688,1.0,2.42,-44.0,-1030.892,69.286
18.948756129235548,147.8,1.521867000041393,1.378988558318912,1.0,2.01,-44.0,-1141.321,74.714
15.21524805274198,146.88,3.481346413512197,1.0450569422263671,1.0,1.83,-44.0,-787.294,51.046
16.309968448109167,138.57,2.0342099580498805,3.8203224470001014,1.0,2.38,-45.0,-825.485,54.634
23.44734445392222,144.32,2.379640797450421,2.63904044806112,1.0,1.79,-43.0,-1641.007,70.917
19.902535226199277,125.95,1.0465998266525072,2.7804442245899117,1.0,2.31,-44.0,-1146.987,74.387
18.152448030953728,143.57,2.7335716458536066,1.552030604882395,1.0,2.11,-44.0,-1031.379,67.158
15.53909272073753,115.21,3.037206509696289,3.7558053339325776,1.0,2.48,-45.0,-694.346,53.716
18.765803147457746,148.43,2.8141483029221592,3.486537423942079,1.0,2.13,-44.0,-1107.03,72.885
17.85576281695694,125.21,3.2500652911079797,3.574941509287127,1.0,2.2,-45.0,-940.374,60.549
23.644794300545996,109.36,2.79,2.3526218092400475,1.0,1.91,-44.0,-1456.832,64.119
19.014795834695406,109.04,2.8657581037609043,2.290741812463793,1.0,2.18,-45.0,-993.396,64.306
16.98569888427111,115.6,2.030038719323269,3.3929164118757,1.0,2.4,-45.0,-823.109,53.777
21.62719812375262,106.21,1.757100104513769,3.5646938280922074,1.0,2.3,-44.0,-1251.348,68.357
20.724885171916064,133.99,2.5570348823921676,3.312651731505664,1.0,1.97,-44.0,-1287.502,74.445
18.426889079532817,94.09,2.1337725379842993,1.238878233094757,1.0,1.68,-45.0,-899.643,53.316
23.118586977205396,142.5,2.91,2.708483238236127,1.0,1.97,-43.0,-1552.434,72.636
18.45172051155215,103.5,2.7775356062973904,1.936809513105751,1.0,2.41,-45.0,-915.733,58.937
17.571182937821963,96.65,1.5788881960573384,2.498752512036658,1.0,1.71,-45.0,-805.923,50.642
17.48033558377231,141.1,2.247546154802582,2.8500552014657083,1.0,1.6,-45.0,-950.532,60.927
20.158570169685298,118.63,1.4580149322794898,2.8654186952212464,1.0,2.15,-44.0,-1147.578,71.832
16.445455401246598,135.09,1.666147419399768,2.558055473098099,1.0,1.52,-45.0,-833.13,54.683
18.243624597261864,142.38,3.534128822806209,2.615321777783631,1.0,2.45,-44.0,-1032.417,68.168
23.264069976293413,141.25,1.296230205461045,2.9539129970229734,1.0,2.11,-44.0,-1588.243,71.617
22.99615261736028,92.07,2.88,3.195185802218581,1.0,1.76,-44.0,-1286.613,62.632
21.32303317430128,110.72,3.33,2.338438696010372,1.0,2.49,-44.0,-1239.083,69.707
