Column1,Column2,Column3
0,-0.000470033,
0.011488403,-4.41644E-05,
0.022976806,-4.30381E-05,
0.034465209,-4.15192E-05,
0.045953612,-3.97535E-05,
0.057442015,-3.79878E-05,
0.068930419,-3.61931E-05,
0.080418822,-3.43756E-05,
0.091907225,-3.25581E-05,
0.103395628,-3.07406E-05,
0.114884031,-2.8923E-05,
0.126372434,-2.71085E-05,
0.137860837,-2.53033E-05,
0.14934924,-2.34981E-05,
0.160837643,-2.16929E-05,
0.172326046,-1.98877E-05,
0.183814449,-1.80825E-05,
0.195302852,-1.61749E-05,
0.206791256,-1.42186E-05,
0.218279659,-1.22623E-05,
0.229768062,-1.03059E-05,
0.241256465,-8.34956E-06,
0.252744868,-8.47859E-06,
0.264233271,-1.52469E-05,
0.275721674,-2.20152E-05,
0.287210077,-2.87836E-05,
0.29869848,-3.55519E-05,
0.310186883,-4.23202E-05,
0.321675286,-4.90885E-05,
0.33316369,-5.58568E-05,
0.344652093,-6.26252E-05,
0.356140496,-6.93935E-05,
0.367628899,-7.61618E-05,
0.379117302,-8.29301E-05,
0.390605705,0.00015406,
0.402094108,0.000147798,
0.413582511,0.000141536,
0.425070914,0.000135274,
0.436559317,0.000129012,
0.44804772,0.00012275,
0.459536124,0.000116488,
0.471024527,0.000110225,
0.48251293,0.000103963,
0.494001333,9.77011E-05,
0.505489736,9.1439E-05,
0.516978139,8.51768E-05,
0.528466542,7.89147E-05,
0.539954945,7.26525E-05,
0.551443348,6.63904E-05,
0.562931751,6.01283E-05,
0.574420154,5.38661E-05,
0.585908557,4.75123E-05,
0.597396961,4.09019E-05,
0.608885364,3.42914E-05,
0.620373767,2.76809E-05,
0.63186217,2.10705E-05,
0.643350573,1.446E-05,
0.654838976,7.84956E-06,
0.666327379,1.2391E-06,
0.677815782,-5.37136E-06,
0.689304185,-1.19818E-05,
0.700792588,-1.85923E-05,
0.712280991,-2.52027E-05,
0.723769395,-3.18132E-05,
0.735257798,-3.84237E-05,
0.746746201,-4.50341E-05,
0.758234604,-5.16446E-05,
0.769723007,-5.8255E-05,
0.78121141,0.000215228,
0.792699813,0.000209554,
0.804188216,0.00020388,
0.815676619,0.000198207,
0.827165022,0.000192533,
0.838653425,0.000186859,
0.850141829,0.000181186,
0.861630232,0.000175512,
0.873118635,0.000169838,
0.884607038,0.000164164,
0.896095441,0.000158491,
0.907583844,0.000152817,
0.919072247,0.000147143,
0.93056065,0.00014147,
0.942049053,0.000135796,
0.953537456,0.000130122,
0.965025859,0.000124449,
0.976514262,0.000117969,
0.988002666,0.000110447,
0.999491069,0.000102926,
1.01097947,9.54043E-05,
1.02246787,8.78829E-05,
1.03395628,8.03614E-05,
1.04544468,7.284E-05,
1.05693308,6.53185E-05,
1.06842149,5.7797E-05,
1.07990989,5.02756E-05,
1.09139829,4.27541E-05,
1.1028867,3.52327E-05,
1.1143751,2.77112E-05,
1.1258635,2.01898E-05,
1.13735191,1.26683E-05,
1.14884031,5.14687E-06,
1.16032871,-2.37458E-06,
1.17181711,0.000311391,
1.18330552,0.000304792,
1.19479392,0.000298194,
1.20628232,0.000291595,
1.21777073,0.000284997,
1.22925913,0.000278399,
1.24074753,0.0002718,
1.25223594,0.000265202,
1.26372434,0.000258604,
1.27521274,0.000252005,
1.28670115,0.000245407,
1.29818955,0.000238808,
1.30967795,0.00023221,
1.32116636,0.000225612,
1.33265476,0.000219013,
1.34414316,0.000212415,
1.35563156,0.000205816,
1.36711997,0.000198093,
1.37860837,0.000189655,
1.39009677,0.000181217,
1.40158518,0.000172778,
1.41307358,0.00016434,
1.42456198,0.000155902,
1.43605039,0.000147464,
1.44753879,0.000139026,
1.45902719,0.000130587,
1.4705156,0.000122149,
1.482004,0.000113711,
1.4934924,0.000105273,
1.5049808,9.68344E-05,
1.51646921,8.83962E-05,
1.52795761,7.9958E-05,
1.53944601,7.15198E-05,
1.55093442,6.30815E-05,
1.56242282,0.000426335,
1.57391122,0.000418986,
1.58539963,0.000411637,
1.59688803,0.000404287,
1.60837643,0.000396938,
1.61986484,0.000389589,
