Column1,Column2,Column3
0,-0.000935661,
0.011488403,-0.000115048,
0.022976806,-0.000114384,
0.034465209,-0.000113515,
0.045953612,-0.000112118,
0.057442015,-0.000110721,
0.068930419,-0.000109393,
0.080418822,-0.000108119,
0.091907225,-0.000106846,
0.103395628,-0.000105572,
0.114884031,-0.000104298,
0.126372434,-0.000103009,
0.137860837,-0.000101612,
0.14934924,-0.000100216,
0.160837643,-9.88188E-05,
0.172326046,-9.7422E-05,
0.183814449,-9.60251E-05,
0.195302852,-9.46283E-05,
0.206791256,-9.32315E-05,
0.218279659,-9.18347E-05,
0.229768062,-9.04378E-05,
0.241256465,-8.9041E-05,
0.252744868,-8.87249E-05,
0.264233271,-9.18466E-05,
0.275721674,-9.49683E-05,
0.287210077,-9.809E-05,
0.29869848,-0.000101212,
0.310186883,-0.000104333,
0.321675286,-0.000107455,
0.33316369,-0.000110577,
0.344652093,-0.000113699,
0.356140496,-0.00011682,
0.367628899,-0.000119942,
0.379117302,-0.000123064,
0.390605705,3.59865E-06,
0.402094108,6.83714E-07,
0.413582511,-2.23122E-06,
0.425070914,-5.14615E-06,
0.436559317,-8.06108E-06,
0.44804772,-1.0976E-05,
0.459536124,-1.38909E-05,
0.471024527,-1.68059E-05,
0.48251293,-1.97208E-05,
0.494001333,-2.26357E-05,
0.505489736,-2.55507E-05,
0.516978139,-2.84656E-05,
0.528466542,-3.13805E-05,
0.539954945,-3.42955E-05,
0.551443348,-3.72104E-05,
0.562931751,-4.01253E-05,
0.574420154,-4.30403E-05,
0.585908557,-4.60149E-05,
0.597396961,-4.9157E-05,
0.608885364,-5.22991E-05,
0.620373767,-5.54413E-05,
0.63186217,-5.85834E-05,
0.643350573,-6.17256E-05,
0.654838976,-6.48677E-05,
0.666327379,-6.80098E-05,
0.677815782,-7.1152E-05,
0.689304185,-7.42941E-05,
0.700792588,-7.74362E-05,
0.712280991,-8.05784E-05,
0.723769395,-8.37205E-05,
0.735257798,-8.68626E-05,
0.746746201,-9.00048E-05,
0.758234604,-9.31469E-05,
0.769723007,-9.6289E-05,
0.78121141,5.34351E-05,
0.792699813,5.0673E-05,
0.804188216,4.79108E-05,
0.815676619,4.51487E-05,
0.827165022,4.23866E-05,
0.838653425,3.96244E-05,
0.850141829,3.68623E-05,
0.861630232,3.41002E-05,
0.873118635,3.13381E-05,
0.884607038,2.85759E-05,
0.896095441,2.58138E-05,
0.907583844,2.30517E-05,
0.919072247,2.02895E-05,
0.93056065,1.75274E-05,
0.942049053,1.47653E-05,
0.953537456,1.20031E-05,
0.965025859,9.24099E-06,
0.976514262,6.06733E-06,
0.988002666,2.36189E-06,
0.999491069,-1.34356E-06,
1.01097947,-5.049E-06,
1.02246787,-8.75445E-06,
1.03395628,-1.24599E-05,
1.04544468,-1.61653E-05,
1.05693308,-1.98708E-05,
1.06842149,-2.35762E-05,
1.07990989,-2.72817E-05,
1.09139829,-3.09871E-05,
1.1028867,-3.46926E-05,
1.1143751,-3.8398E-05,
1.1258635,-4.21035E-05,
1.13735191,-4.58089E-05,
1.14884031,-4.95143E-05,
1.16032871,-5.32198E-05,
1.17181711,0.000119176,
1.18330552,0.000115976,
1.19479392,0.000112776,
1.20628232,0.000109576,
1.21777073,0.000106377,
1.22925913,0.000103177,
1.24074753,9.9977E-05,
1.25223594,9.67772E-05,
1.26372434,9.35774E-05,
1.27521274,9.03776E-05,
1.28670115,8.71778E-05,
1.29818955,8.3978E-05,
1.30967795,8.07782E-05,
1.32116636,7.75785E-05,
1.33265476,7.43787E-05,
1.34414316,7.11789E-05,
1.35563156,6.79791E-05,
1.36711997,6.41362E-05,
1.37860837,5.98835E-05,
1.39009677,5.56307E-05,
1.40158518,5.13779E-05,
1.41307358,4.71252E-05,
1.42456198,4.28724E-05,
1.43605039,3.86196E-05,
1.44753879,3.43669E-05,
1.45902719,3.01141E-05,
1.4705156,2.58613E-05,
1.482004,2.16086E-05,
1.4934924,1.73558E-05,
1.5049808,1.31031E-05,
1.51646921,8.8503E-06,
1.52795761,4.59753E-06,
1.53944601,3.44769E-07,
1.55093442,-3.90799E-06,
1.56242282,0.000195321,
1.57391122,0.000191731,
1.58539963,0.000188141,
1.59688803,0.000184552,
1.60837643,0.000180962,
1.61986484,0.000177372,
1.63135324,0.000173783,
1.64284164,0.000170193,
1.65433004,0.000166603,
1.66581845,0.000163014,
1.67730685,0.000159424,
