X1,X2,X3,X4,X5,X6,X7,X8,X9
0.115,0.084,0.144,0.083,0.024,0.065,0.037,0.054,0.043
0.055,0.04,0.024,0.072,0.06,0.074,0.102,0.083,0.041
0.022,0.068,0.024,0.037,0.108,0.053,0.053,0.055,0.107
0.093,0.044,0.12,0.046,0.084,0.021,0.065,0.029,0.066
