X1,X2,X3,X4,X5,X6,X7,X8,X9
0.086,0.09,0.051,0.116,0.067,0.084,0.143,0.07,0.091
0.08,0.106,0.151,0.078,0.101,0.086,0.02,0.11,0.091
0.096,0.066,0.06,0.067,0.093,0.092,0.099,0.081,0.08
0.016,0.04,0.1,0.049,0.034,0.008,0.123,0.04,0.011
