X1,X2,X3,X4,X5,X6,X7,X8,X9,Tavg,Trip,Tcog,ANavg,ANrip,ANcog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,0.0,598.68,32.1,18.11,0.27029141096799936,0.11559108290605088,0.029828232029518703
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,8.0,750.04,121.22,18.07,0.16554141717163343,0.27264981645403574,0.03360570804700195
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,16.0,821.06,125.16,20.36,0.12519834112842526,0.31390730386447285,0.17986798464861814
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,8.0,913.09,53.15,16.67,0.08128803467865592,0.01859117725843403,0.3076603422955441
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,16.0,1078.0,38.49,19.61,0.026232456307990183,0.07737861103250959,0.05070128866586071
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,0.0,886.63,37.95,20.07,0.0929454214704104,0.0803121957778165,0.12053768924405231
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,16.0,1064.63,79.48,18.24,0.02956624779081878,0.014010652255619687,0.019106360427742292
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,0.0,1001.87,30.57,19.17,0.0478796917606058,0.12587458593064335,0.011763266008822397
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,8.0,926.33,54.61,19.35,0.07574804284581027,0.014939059866100808,0.024399673779228165
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,8.0,1141.25,77.94,20.33,0.013163560763598129,0.010705763945233787,0.17318157066320095
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,16.0,1176.17,60.26,17.09,0.007859908464326871,0.004565356557957465,0.19648434490350405
20.0,10.0,2.5,1.0,2.0,1.0,1.25,15.0,0.0,1470.8,56.34,18.41,0.017254980059817408,0.011128024057107102,0.008673740921675296
20.0,12.5,3.5,0.5,1.0,1.5,1.5,12.5,16.0,1376.38,77.93,19.39,0.0037027559469947646,0.010685754214804392,0.027826920232176547
20.0,12.5,3.6,0.5,1.0,2.0,1.0,15.0,0.0,1372.49,53.21,16.91,0.0033576723305749367,0.01843322901682374,0.24109170863645082
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,8.0,1458.06,66.44,19.45,0.014846117357174336,6.056240051256969e-05,0.033389941618851
20.0,15.0,1.0,0.75,1.0,1.5,1.5,15.0,0.0,1327.07,53.02,19.08,0.0005773512835331519,0.018935710023226887,0.007154776537989368
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,8.0,1253.58,52.94,18.16,0.0009517452591566415,0.019149302431273763,0.025423000788103372
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,16.0,1202.33,132.98,18.49,0.004777740206334243,0.4044004617382064,0.005171445276326576
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,16.0,1593.31,75.2,19.42,0.04965869047460612,0.005923139937191126,0.030545108169426172
25.0,10.0,2.6,0.75,1.0,1.0,1.5,12.5,0.0,1635.89,78.53,19.74,0.06484093154974457,0.011919467490836052,0.06741927803545517
25.0,10.0,2.6,0.75,1.0,1.5,1.0,15.0,6.0,1583.88,77.84,17.65,0.04656984144740431,0.01050650891509895,0.08686249120408719
25.0,12.5,1.0,1.0,1.0,2.0,1.25,12.5,0.0,1593.54,75.18,18.75,0.04973526720352442,0.005893396221076022,8.68624912040814e-06
25.0,12.5,1.0,1.0,2.5,1.0,1.5,15.0,6.0,1652.75,55.22,20.1,0.07141133603720308,0.0135313462667336,0.12612650879061474
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,16.0,1546.49,29.61,17.94,0.03529872992403905,0.13255068800200545,0.047437430558867025
25.0,15.0,2.5,0.5,1.0,2.0,1.25,15.0,6.0,1784.72,78.91,19.13,0.13379304604124628,0.012735670665315146,0.009574331230479247
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,16.0,1937.82,68.88,20.27,0.23050025699908938,0.0002503465256559282,0.16018867922889382
25.0,15.0,2.5,0.5,1.1,1.5,1.0,12.5,0.0,1815.25,72.44,16.59,0.15099094355522874,0.0025262420135787975,0.33165106746618384
