X1,X2,X3,X4,X5,X6,X7,X8,X9
0.102,0.084,0.080,0.122,0.07,0.087,0.07,0.084,0.078
0.007,0.042,0.084,0.041,0.069,0.054,0.057,0.067,0.067
0.093,0.075,0.037,0.039,0.063,0.06,0.075,0.05,0.057
0.095,0.042,0.047,0.083,0.007,0.033,0.018,0.034,0.021
