X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
19.24,116.9,1.46,0.31,2.4,2.12,1.5,14.48,-30.0,-201.3,80.67
22.97,118.6,0.77,0.67,0.74,2.41,1.91,12.14,-43.0,-162.52,96.37
17.67,112.9,1.23,0.52,3.37,2.07,1.57,10.57,-43.0,-136.42,97.12
16.84,119.3,1.87,0.43,2.55,2.08,1.58,10.01,-43.0,-131.78,102.7
23.69,130.4,2.98,0.1,0.6,2.52,1.76,14.16,-33.0,-204.29,81.8
23.07,98.8,0.5,0.45,1.93,2.47,1.94,14.32,-31.0,-205.21,80.94
19.88,95.2,2.06,0.77,2.07,2.01,1.51,14.72,-28.0,-206.87,77.7
23.17,110.9,0.81,0.87,1.58,2.42,1.8,10.46,-45.0,-142.58,105.62
21.0,109.4,3.39,0.76,0.53,2.44,1.72,10.28,-44.0,-138.66,105.32
19.5,134.3,1.19,0.64,2.79,2.14,1.5,14.84,-27.0,-210.97,78.79
17.45,137.5,1.92,0.16,1.84,2.53,1.58,13.89,-35.0,-181.42,89.35
24.6,131.5,1.21,0.25,2.2,2.46,1.68,12.32,-43.0,-164.86,97.6
22.97,88.4,2.52,0.72,0.97,2.22,1.72,11.05,-44.0,-147.36,99.33
20.08,123.4,0.82,0.11,3.42,2.48,1.88,12.49,-42.0,-163.05,89.0
19.13,111.7,3.41,0.06,0.96,2.24,1.74,13.49,-37.0,-187.03,79.22
24.27,94.8,2.32,0.23,1.35,2.37,1.61,10.15,-45.0,-141.54,102.33
23.64,118.7,2.83,0.41,1.0,2.32,1.69,14.77,-27.0,-218.8,74.78
18.61,117.3,1.13,0.53,2.37,2.15,1.65,12.74,-41.0,-161.53,89.16
20.18,117.0,0.82,0.11,3.42,2.5,1.9,12.44,-42.0,-162.86,88.94
19.24,110.9,1.57,0.2,1.35,2.24,1.74,10.48,-44.0,-135.37,102.89
22.01,102.1,2.94,0.41,1.0,2.17,1.54,10.35,-44.0,-143.08,101.85
22.48,108.0,0.66,0.4,3.09,2.11,1.51,14.66,-29.0,-206.04,76.8
20.68,137.8,3.55,0.76,0.83,2.4,1.69,10.67,-44.0,-145.84,103.4
24.67,131.5,0.66,0.25,2.73,2.1,1.58,12.33,-43.0,-166.72,94.38
21.82,134.6,1.13,0.64,2.7,2.15,1.51,11.8,-44.0,-152.74,99.09
23.27,103.6,0.68,0.17,3.21,2.37,1.55,10.59,-45.0,-140.79,105.36
19.74,139.2,1.67,0.3,2.64,2.16,1.66,14.69,-30.0,-214.62,71.57
21.99,123.3,1.49,0.14,1.41,2.54,1.58,12.61,-42.0,-167.27,93.51
22.17,94.2,0.99,0.71,2.57,2.24,1.74,11.21,-44.0,-147.21,98.68
23.94,136.6,1.95,0.17,1.6,2.52,1.58,13.89,-36.0,-194.52,85.17
23.47,129.7,2.04,0.1,1.55,2.5,1.75,14.16,-33.0,-202.42,81.0
24.22,139.7,0.67,0.04,1.76,2.39,1.73,12.72,-41.0,-175.02,93.93
17.48,117.4,1.03,0.52,2.8,2.13,1.63,12.69,-40.0,-161.2,89.53
19.14,120.0,1.47,0.86,2.96,2.0,1.5,14.7,-28.0,-205.92,79.43
22.95,114.9,2.96,0.09,0.98,2.06,1.55,10.51,-43.0,-153.17,98.54
22.92,113.4,2.04,0.94,0.64,2.56,1.63,12.38,-43.0,-165.54,92.97
20.09,125.1,1.01,0.14,3.23,2.17,1.65,13.12,-38.0,-179.22,81.79
23.67,136.9,1.92,0.24,1.45,2.44,1.73,14.78,-28.0,-218.34,74.17
19.54,118.5,1.34,0.87,2.95,2.26,1.73,12.78,-41.0,-164.03,87.5
21.97,94.2,0.88,0.33,2.57,2.23,1.73,12.48,-41.0,-164.58,91.71
21.05,88.2,0.52,0.91,3.56,2.0,1.5,11.82,-46.0,-141.19,91.4
23.83,93.7,2.67,0.84,0.85,2.4,1.66,13.77,-36.0,-187.22,85.87
19.11,116.0,2.32,0.53,1.79,2.33,1.83,13.93,-34.0,-193.66,82.57
23.27,82.7,3.0,0.69,0.69,2.13,1.54,14.47,-30.0,-201.81,79.09
16.79,132.7,1.65,0.07,3.21,2.07,1.57,10.54,-41.0,-152.0,89.88
17.38,113.6,1.81,0.78,1.19,2.04,1.54,11.6,-44.0,-139.13,96.19
19.36,101.0,1.37,0.38,0.86,2.05,1.55,10.63,-45.0,-133.22,100.96
20.25,96.6,2.04,0.25,0.51,2.02,1.51,13.77,-35.0,-182.51,86.55
15.57,139.3,1.69,0.3,3.42,2.23,1.66,14.69,-29.0,-208.6,75.05
24.35,85.3,2.68,0.52,0.64,2.31,1.53,14.13,-33.0,-196.88,83.08
21.86,105.7,0.73,0.41,2.93,2.14,1.54,10.18,-45.0,-135.36,107.91
21.99,133.0,1.61,0.34,0.52,2.52,1.58,12.74,-42.0,-166.32,93.57
23.69,129.8,2.04,0.1,1.55,2.5,1.75,13.96,-35.0,-198.59,82.73
19.14,111.3,1.85,0.29,1.71,2.0,1.5,13.2,-38.0,-173.25,85.62
23.07,107.4,1.24,0.4,2.39,2.46,1.94,14.29,-31.0,-206.49,79.4
24.35,85.3,2.57,0.52,0.64,2.31,1.53,14.15,-33.0,-195.41,82.39
23.53,105.7,0.59,0.41,2.95,2.14,1.54,14.71,-29.0,-209.04,75.92
20.35,99.1,0.5,0.78,2.94,2.14,1.64,11.63,-45.0,-144.78,93.28
23.29,128.9,0.68,0.1,3.23,2.37,1.55,10.42,-45.0,-138.46,113.05
23.94,136.6,1.95,0.25,1.6,2.52,1.58,13.89,-36.0,-194.29,85.3
19.18,112.1,1.13,0.29,1.2,2.0,1.5,12.75,-41.0,-159.35,91.38
17.01,136.9,2.37,0.25,2.61,2.44,1.73,14.78,-28.0,-210.36,78.56
23.07,108.2,1.23,0.4,2.39,2.46,1.94,12.57,-42.0,-168.46,91.69
19.41,139.2,1.73,0.3,2.64,2.08,1.58,14.81,-29.0,-218.29,70.7
20.42,108.5,3.4,0.52,0.9,2.01,1.51,14.89,-26.0,-212.89,75.59
22.39,125.1,1.01,0.13,3.05,2.17,1.65,13.12,-39.0,-181.2,84.55
19.24,117.2,1.43,0.87,2.39,2.23,1.72,14.73,-27.0,-209.39,80.27
22.89,92.0,1.75,0.45,1.46,2.0,1.5,14.44,-30.0,-204.89,77.17
19.13,111.7,3.41,0.08,0.81,2.24,1.74,13.04,-39.0,-178.31,82.43
22.99,116.1,2.71,0.08,1.1,2.27,1.76,12.92,-40.0,-179.47,85.66
21.97,119.6,2.89,0.41,1.0,2.32,1.69,10.37,-44.0,-145.46,103.73
21.95,128.4,1.11,0.34,2.76,2.16,1.5,12.87,-41.0,-169.14,90.91
23.52,105.7,0.59,0.41,2.95,2.28,1.54,14.66,-28.0,-208.23,77.84
22.79,132.9,1.5,0.63,0.75,2.51,1.58,14.52,-30.0,-209.23,78.47
23.27,82.7,3.0,0.62,0.69,2.12,1.54,14.47,-29.0,-203.14,79.47
19.41,116.9,1.46,0.31,2.4,2.13,1.51,14.53,-30.0,-202.43,80.75
23.07,98.3,0.5,0.37,3.33,2.04,1.52,14.29,-33.0,-194.75,80.01
19.88,95.2,2.06,0.77,1.39,2.01,1.51,14.72,-27.0,-207.97,79.66
19.59,136.9,1.37,0.87,1.47,2.25,1.73,14.78,-27.0,-211.66,79.99
22.95,119.5,2.97,0.09,0.97,2.07,1.55,10.51,-44.0,-152.72,98.78
24.31,109.0,3.2,0.52,0.5,2.32,1.53,14.89,-26.0,-218.77,73.4
23.19,110.9,2.06,0.19,1.58,2.42,1.8,10.18,-44.0,-145.24,103.82
19.73,139.5,1.46,0.3,2.64,2.28,1.66,14.48,-31.0,-204.85,78.57
