X1,X2,X3,X4,X5,X6,X7,X8,COG
20.73,127.3,0.59,0.2,3.47,2.48,1.85,10.82,19.84
18.02,137.2,2.47,0.29,0.98,2.46,1.81,11.62,21.31
21.77,133.0,0.5,0.98,1.82,2.78,1.8,14.14,20.36
24.09,94.0,0.5,0.06,3.12,2.1,1.51,11.5,20.73
15.8,132.4,1.83,0.79,2.23,2.18,1.6,10.37,19.5
19.03,121.1,3.01,0.99,1.49,2.42,1.92,13.95,20.99
24.03,107.5,0.65,0.62,1.6,2.7,1.94,11.79,21.29
23.8,134.5,2.19,0.27,0.89,2.24,1.74,14.01,20.68
19.29,104.7,3.42,0.2,0.88,2.11,1.61,13.46,20.63
23.17,104.5,3.27,0.9,0.58,2.06,1.55,10.33,19.48
17.17,120.7,3.06,0.18,1.74,2.16,1.66,13.17,20.81
23.07,84.8,0.73,0.27,0.59,2.15,1.65,12.06,20.61
20.73,135.4,0.66,0.18,3.47,2.48,1.85,12.7,19.57
24.58,103.5,0.5,0.83,3.14,2.62,1.7,13.75,20.75
24.48,120.1,1.81,0.79,0.95,2.18,1.6,10.37,19.66
20.75,111.8,1.51,0.59,2.57,2.43,1.88,13.64,21.3
20.17,105.6,1.61,0.4,2.55,2.13,1.55,10.66,18.85
24.14,109.6,1.35,0.14,1.44,2.36,1.66,12.1,20.48
18.31,110.1,3.57,0.45,0.68,2.1,1.58,10.66,18.88
23.76,109.9,0.5,0.26,1.33,2.19,1.65,14.01,20.47
22.71,108.8,2.12,0.48,0.54,2.66,1.71,14.82,19.13
15.26,135.8,3.39,0.02,1.12,2.16,1.57,14.05,20.15
19.34,101.6,1.26,0.03,3.04,2.07,1.57,12.61,19.1
23.46,94.3,1.36,0.61,0.5,2.04,1.51,13.23,20.62
17.17,120.7,3.02,0.19,1.65,2.16,1.66,11.8,20.74
17.66,129.8,0.6,0.54,0.97,2.41,1.91,14.44,20.1
23.46,102.2,0.93,0.22,2.59,2.06,1.51,14.83,18.72
23.69,107.5,3.24,0.95,0.5,2.04,1.52,10.33,19.24
21.09,105.5,1.61,1.0,0.5,2.35,1.78,10.09,20.28
23.12,132.3,1.46,0.27,2.22,2.3,1.55,10.58,18.71
24.6,110.7,0.5,0.01,3.11,2.12,1.6,10.18,20.26
20.91,132.9,2.2,0.18,0.91,2.08,1.58,12.88,19.61
17.37,120.4,0.9,0.19,0.81,2.16,1.66,12.74,19.33
17.6,124.4,1.28,0.35,2.35,2.29,1.63,10.33,19.47
24.49,113.9,0.5,0.19,3.14,2.18,1.66,11.08,20.8
23.46,102.2,0.93,0.31,0.51,2.03,1.53,14.66,18.53
24.59,102.7,0.51,0.62,3.06,2.16,1.66,11.79,21.23
23.8,134.5,2.19,0.4,0.89,2.24,1.74,14.06,20.55
24.37,138.4,2.64,0.23,0.81,2.12,1.51,10.87,19.63
16.9,129.0,1.44,0.1,0.97,2.28,1.78,13.64,21.24
18.25,120.7,3.09,0.18,1.73,2.31,1.81,13.17,21.06
15.69,128.0,2.48,0.62,2.09,2.08,1.58,14.54,18.97
24.68,119.9,0.87,0.38,0.76,2.24,1.65,11.51,21.22
19.19,118.1,0.5,0.29,1.01,2.16,1.59,11.11,20.44
19.34,111.2,1.26,0.07,2.96,2.1,1.56,12.61,18.95
20.69,91.4,2.16,0.23,0.82,2.02,1.52,11.04,20.0
21.81,124.6,0.57,0.93,3.04,2.7,1.7,10.72,19.64
23.83,107.5,3.24,0.97,0.5,2.16,1.55,10.33,19.3
18.33,124.1,3.63,0.97,0.93,2.1,1.59,10.65,18.93
23.31,131.9,1.47,0.27,1.4,2.49,1.65,14.01,20.5
23.94,108.8,2.13,0.35,1.44,2.53,1.73,14.82,19.25
24.53,132.3,2.18,0.27,0.98,2.46,1.81,14.23,20.9
