X1,X2,X3,X4,X5,X6,X7,AVG,RIP,COG
19.19,129.6,1.9,0.02,2.76,2.26,1.76,-230.51,59.93,19.33
19.7,138.5,1.8,0.02,2.73,2.0,1.5,-220.68,62.12,18.19
19.14,139.6,1.83,0.02,2.75,2.27,1.77,-230.43,60.5,19.27
19.85,139.2,1.78,0.01,2.76,2.0,1.5,-221.33,61.0,18.32
23.63,137.0,1.92,0.01,1.57,2.24,1.74,-232.78,64.24,19.28
23.67,134.0,1.81,0.01,1.73,2.0,1.5,-229.58,62.93,18.84
19.02,139.2,1.89,0.01,2.81,2.01,1.51,-219.4,61.38,18.16
19.69,139.9,1.9,0.02,2.54,2.0,1.5,-221.11,62.8,18.16
19.1,139.5,1.86,0.01,2.78,2.0,1.5,-221.14,60.94,18.41
19.2,139.6,1.86,0.01,2.8,2.0,1.5,-223.64,59.62,18.62
21.81,139.7,1.86,0.01,2.28,2.01,1.51,-229.89,59.18,18.96
24.44,134.6,1.8,0.01,1.56,2.24,1.74,-232.67,66.03,19.27
19.7,139.9,1.75,0.02,2.82,2.0,1.5,-222.15,60.97,18.37
19.85,139.2,1.77,0.01,2.77,2.0,1.5,-222.6,61.58,18.27
23.66,137.0,1.86,0.01,1.91,2.26,1.76,-232.83,62.99,19.7
20.11,139.6,1.84,0.01,2.51,2.01,1.51,-228.44,59.63,18.92
19.04,139.9,1.88,0.01,2.81,2.0,1.5,-220.04,61.73,18.05
23.63,134.5,2.18,0.01,1.65,2.26,1.76,-232.96,63.76,19.31
23.82,134.5,1.8,0.01,1.97,2.39,1.87,-233.63,63.41,19.72
23.67,135.6,1.87,0.01,1.93,2.21,1.71,-232.62,62.53,19.59
19.14,139.8,1.86,0.01,2.81,2.0,1.5,-220.05,62.02,18.19
19.2,139.3,1.83,0.0,2.8,2.24,1.74,-231.45,60.15,19.3
23.66,136.9,1.8,0.01,1.62,2.28,1.78,-233.65,64.29,19.3
