X1,X2,X3,X4,X5,X6:,X7:,ANG,AVG,RIP,COG
20,140,2,1,0.5,15,16,-47.0,-1465.78,78.55,20.21
25,130,1,2,1.0,10,16,-46.0,-1726.2,68.3,20.22
15,150,2,2,0.5,15,16,-48.0,-1190.39,32.64,20.44
25,150,1,2,0.5,15,4,-45.0,-1829.32,54.88,19.92
17,150,2,3,0.5,15,8,-48.0,-1405.85,58.53,19.84
20,150,1,2,0.5,10,16,-46.0,-1472.43,30.41,20.39
17,150,2,3,0.5,15,12,-48.0,-1391.25,47.54,19.96
17,140,2,3,0.5,15,16,-48.0,-1392.51,41.89,20.34
25,140,1,2,0.5,10,16,-45.0,-1845.35,48.53,20.23
16,150,2,2,0.5,15,16,-47.0,-1295.11,24.12,20.32
