X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
15,140,3,0.5,1,2.5,1.5,13,16,20.42
15,110,1,0.5,1,2.0,1.5,11,4,20.12
21,140,2,0.5,1,2.5,1.5,12,16,20.57
22,100,2,0.5,2,2.0,1.5,14,14,20.43
19,110,3,0.5,1,2.0,1.5,13,16,20.24
16,100,1,0.5,3,2.5,1.5,10,16,20.27
20,100,2,0.5,1,2.5,1.5,11,12,20.2
25,110,2,0.5,1,2.5,1.5,13,10,20.72
20,130,3,0.5,1,2.0,1.5,15,0,19.03
23,100,2,0.5,2,2.5,1.5,10,16,20.31
24,130,1,0.5,1,2.0,1.5,12,8,20.56
16,110,2,0.5,2,2.0,1.5,15,16,20.28
19,130,3,0.5,1,2.5,1.5,12,16,20.49
20,150,1,0.5,1,2.5,1.5,15,4,19.87
17,100,3,0.5,1,2.0,1.5,10,16,20.03
21,110,3,0.5,1,2.5,1.5,10,4,20.28
22,150,3,0.5,1,2.0,1.5,12,16,20.67
23,120,3,0.5,1,2.5,1.5,12,16,20.56
16,130,4,0.5,1,2.5,1.5,12,16,20.64
15,110,1,0.5,1,2.0,1.5,15,4,19.92
20,140,2,0.5,1,2.5,1.5,10,0,20.3
15,100,1,0.5,3,2.5,1.5,12,8,20.4
22,150,1,0.5,1,2.5,1.5,14,14,20.35
18,110,3,0.5,1,2.0,1.5,15,6,20.27
23,140,2,0.5,1,2.0,1.5,14,0,20.4
15,140,1,0.5,3,2.0,1.5,13,8,20.06
19,150,2,0.5,2,2.0,1.5,12,16,20.68
19,120,1,0.5,2,2.5,1.5,11,16,20.31
16,130,4,0.5,1,2.0,1.5,12,16,20.65
24,140,1,0.5,1,2.0,1.5,14,10,20.24
15,110,1,0.5,1,2.5,1.5,12,16,20.59
18,140,3,0.5,1,2.0,1.5,10,16,20.26
24,150,2,0.5,1,2.0,1.5,11,12,20.17
15,110,1,0.5,4,2.5,1.5,12,16,20.64
16,150,3,0.5,2,2.0,1.5,15,8,19.98
20,110,3,0.5,1,2.5,1.5,10,4,20.19
18,130,1,0.5,1,2.5,1.5,12,12,20.56
22,100,3,0.5,1,2.0,1.5,14,14,20.42
19,100,3,0.5,1,2.0,1.5,10,16,20.2
21,130,3,0.5,1,2.5,1.5,11,12,19.98
22,150,3,0.5,1,2.0,1.5,14,14,20.42
19,120,3,0.5,1,2.5,1.5,14,16,20.59
25,100,2,0.5,1,2.5,1.5,13,0,20.15
15,130,2,0.5,1,2.0,1.5,13,2,20.23
23,120,1,0.5,2,2.0,1.5,12,16,20.56
23,110,2,0.5,1,2.0,1.5,10,4,20.11
22,130,3,0.5,1,2.5,1.5,12,16,20.46
24,110,2,0.5,1,2.0,1.5,14,10,20.19
15,150,2,0.5,3,2.5,1.5,12,8,20.36
20,100,3,0.5,1,2.5,1.5,10,16,20.23
20,120,3,0.5,1,2.5,1.5,15,12,20.14
18,140,1,0.5,1,2.0,1.5,10,16,20.24
17,100,3,0.5,1,2.5,1.5,14,16,20.71
21,150,3,0.5,1,2.0,1.5,12,12,20.65
20,140,2,0.5,1,2.5,1.5,14,16,20.59
24,140,2,0.5,1,2.5,1.5,14,10,20.25
15,100,1,0.5,1,2.5,1.5,10,12,19.98
17,110,4,0.5,1,2.5,1.5,14,10,20.17
19,140,3,0.5,1,2.5,1.5,15,0,19.13
19,150,3,0.5,1,2.5,1.5,15,4,19.8
16,130,3,0.5,1,2.5,1.5,13,16,20.32
19,120,3,0.5,1,2.0,1.5,14,16,20.83
25,120,2,0.5,1,2.0,1.5,11,12,20.38
16,150,2,0.5,3,2.0,1.5,14,16,20.55
15,150,1,0.5,1,2.0,1.5,13,16,20.37
22,140,3,0.5,1,2.5,1.5,13,16,20.28
17,100,1,0.5,4,2.0,1.5,11,16,20.29
22,100,3,0.5,1,2.0,1.5,12,16,20.67
24,150,2,0.5,1,2.5,1.5,15,4,19.81
25,140,2,0.5,1,2.5,1.5,14,0,20.43
25,150,1,0.5,2,2.0,1.5,13,4,20.32
21,150,2,0.5,2,2.5,1.5,12,16,20.7
17,140,3,0.5,1,2.0,1.5,14,16,20.7
22,150,1,0.5,1,2.0,1.5,14,14,20.3
24,100,2,0.5,1,2.0,1.5,14,10,20.19
23,100,2,0.5,1,2.5,1.5,10,16,20.23
24,110,2,0.5,1,2.0,1.5,10,0,20.27
19,150,3,0.5,1,2.0,1.5,12,14,20.21
21,120,2,0.5,1,2.0,1.5,15,12,20.09
20,150,2,0.5,1,2.5,1.5,13,0,20.13
22,150,1,0.5,1,2.0,1.5,13,12,20.15
21,150,3,0.5,1,2.0,1.5,14,16,20.78
15,110,2,0.5,1,2.0,1.5,14,2,19.96
16,140,1,0.5,3,2.0,1.5,14,16,20.57
21,100,1,0.5,1,2.0,1.5,12,12,20.66
23,120,2,0.5,1,2.5,1.5,11,16,20.25
23,110,2,0.5,1,2.0,1.5,14,2,19.97
19,140,2,0.5,1,2.5,1.5,11,8,20.13
16,150,1,0.5,3,2.0,1.5,10,16,20.15
16,150,2,0.5,3,2.5,1.5,15,6,20.15
21,150,3,0.5,1,2.5,1.5,10,16,20.36
16,150,3,0.5,2,2.0,1.5,15,16,20.33
17,140,1,0.5,3,2.0,1.5,14,12,20.63
18,140,3,0.5,1,2.0,1.5,13,16,20.42
23,120,1,0.5,2,2.5,1.5,11,12,20.35
24,150,1,0.5,1,2.0,1.5,14,10,20.15
15,100,1,0.5,4,2.5,1.5,10,16,20.11
23,130,1,0.5,1,2.0,1.5,11,16,20.26
16,130,1,0.5,1,2.0,1.5,12,16,20.52
20,150,1,0.5,1,2.5,1.5,10,8,20.13
17,120,3,0.5,1,2.0,1.5,15,0,19.07
16,110,1,0.5,1,2.0,1.5,15,8,20.01
20,140,2,0.5,1,2.5,1.5,14,2,20.04
16,100,1,0.5,3,2.0,1.5,10,16,20.26
23,110,3,0.5,1,2.5,1.5,15,2,20.23
15,130,3,0.5,2,2.5,1.5,12,16,20.67
21,140,3,0.5,1,2.0,1.5,14,4,20.29
20,120,3,0.5,1,2.0,1.5,15,0,18.96
24,150,2,0.5,1,2.0,1.5,13,12,20.22
25,150,2,0.5,1,2.5,1.5,15,4,19.82
25,120,2,0.5,1,2.0,1.5,11,14,20.53
18,150,1,0.5,2,2.0,1.5,15,12,20.36
22,140,2,0.5,1,2.5,1.5,14,14,20.18
19,110,3,0.5,1,2.5,1.5,15,4,19.8
17,140,3,0.5,1,2.0,1.5,15,0,19.11
25,150,1,0.5,1,2.0,1.5,13,8,20.08
24,140,2,0.5,1,2.0,1.5,14,10,20.27
20,130,3,0.5,1,2.0,1.5,15,16,20.37
19,100,1,0.5,1,2.0,1.5,10,16,20.18
22,150,1,0.5,1,2.0,1.5,13,16,20.22
17,140,2,0.5,1,2.0,1.5,14,12,20.52
17,150,1,0.5,1,2.0,1.5,14,16,20.58
19,140,2,0.5,2,2.0,1.5,12,16,20.73
19,150,3,0.5,1,2.0,1.5,15,16,20.48
16,150,2,0.5,3,2.5,1.5,15,8,19.84
24,140,2,0.5,1,2.5,1.5,13,8,20.08
15,100,1,0.5,1,2.5,1.5,10,16,20.07
21,100,3,0.5,1,2.0,1.5,10,16,20.26
23,110,2,0.5,1,2.0,1.5,14,0,20.44
16,140,2,0.5,3,2.0,1.5,14,16,20.55
15,100,1,0.5,1,2.0,1.5,14,16,20.6
24,150,2,0.5,1,2.5,1.5,10,16,20.38
15,140,1,0.5,1,2.0,1.5,12,16,20.44
18,140,3,0.5,1,2.0,1.5,15,10,20.55
25,120,2,0.5,1,2.0,1.5,12,12,20.5
16,140,4,0.5,1,2.0,1.5,12,16,20.67
15,120,1,0.5,2,2.5,1.5,15,16,20.5
17,140,1,0.5,1,2.5,1.5,14,12,20.48
24,110,2,0.5,1,2.0,1.5,10,8,20.26
24,150,2,0.5,1,2.0,1.5,12,14,20.27
24,120,2,0.5,1,2.0,1.5,10,8,20.27
15,110,1,0.5,1,2.0,1.5,12,16,20.59
24,110,1,0.5,2,2.5,1.5,12,12,20.86
16,150,2,0.5,2,2.0,1.5,13,16,20.5
18,150,3,0.5,1,2.0,1.5,12,16,20.57
16,120,2,0.5,1,2.0,1.5,11,16,20.26
16,150,3,0.5,2,2.0,1.5,13,16,20.54
24,150,2,0.5,1,2.5,1.5,10,12,19.77
17,120,1,0.5,1,2.0,1.5,14,10,20.3
22,140,2,0.5,2,2.0,1.5,13,10,20.64
20,150,1,0.5,3,2.5,1.5,14,16,20.68
17,150,4,0.5,1,2.5,1.5,14,16,20.71
21,100,3,0.5,1,2.5,1.5,10,0,20.21
15,120,3,0.5,2,2.5,1.5,10,16,20.17
21,140,3,0.5,1,2.5,1.5,14,4,20.28
22,100,2,0.5,1,2.0,1.5,10,2,20.09
15,100,3,0.5,2,2.5,1.5,10,16,20.41
23,110,3,0.5,1,2.5,1.5,14,0,20.45
16,150,1,0.5,3,2.0,1.5,12,16,20.49
18,140,3,0.5,1,2.5,1.5,12,8,20.58
15,110,1,0.5,1,2.0,1.5,15,8,20.04
15,150,1,0.5,3,2.0,1.5,15,16,20.27
24,110,2,0.5,1,2.0,1.5,12,12,20.63
23,140,2,0.5,1,2.0,1.5,10,0,20.32
16,110,2,0.5,2,2.0,1.5,15,6,20.33
18,140,2,0.5,1,2.5,1.5,14,16,20.72
22,140,3,0.5,1,2.0,1.5,14,14,20.23
22,100,3,0.5,1,2.0,1.5,12,12,20.72
21,140,3,0.5,1,2.0,1.5,14,2,19.89
18,140,3,0.5,1,2.0,1.5,15,8,20.03
24,120,2,0.5,1,2.0,1.5,15,8,19.94
15,120,1,0.5,2,2.5,1.5,14,16,20.77
24,150,2,0.5,1,2.5,1.5,15,8,19.91
20,140,3,0.5,1,2.0,1.5,12,16,20.63
16,140,1,0.5,1,2.0,1.5,14,16,20.73
25,130,2,0.5,1,2.5,1.5,14,0,20.4
15,130,1,0.5,1,2.5,1.5,10,16,20.12
17,150,3,0.5,1,2.5,1.5,15,16,20.43
22,100,2,0.5,2,2.0,1.5,10,16,20.47
21,100,2,0.5,2,2.0,1.5,10,0,20.44
24,150,1,0.5,2,2.0,1.5,12,12,20.78
20,110,2,0.5,1,2.0,1.5,15,2,20.22
15,130,2,0.5,1,2.0,1.5,13,16,20.36
22,110,3,0.5,1,2.0,1.5,14,14,20.41
22,120,3,0.5,1,2.0,1.5,10,16,20.31
18,140,3,0.5,1,2.5,1.5,15,0,19.0
24,140,2,0.5,1,2.5,1.5,13,12,20.18
16,150,3,0.5,2,2.0,1.5,13,0,19.87
15,120,1,0.5,4,2.0,1.5,10,16,20.18
24,140,1,0.5,2,2.0,1.5,12,14,20.28
16,130,1,0.5,1,2.0,1.5,15,16,20.22
17,120,1,0.5,1,2.5,1.5,10,0,20.06
22,140,2,0.5,2,2.0,1.5,13,16,20.48
23,140,2,0.5,1,2.0,1.5,15,0,18.89
