X1,X2,X3,X4,X5,X6,X7,X8,X9
1.5626,0.0781,0.0778,0.0068,0.0072,0.0088,0.0115,0.0231,0.0037
0.0185,0.2518,0.0941,0.1628,0.046,0.011,0.1485,0.3377,0.2213
0.0273,0.002,0.0057,0.0049,0.0035,0.0121,1.8128,0.3067,0.0627
1.6084,0.33190000000000003,0.1776,0.1745,0.0567,0.0319,1.9727999999999999,0.6675,0.2877
