X1,X2,X3,X4,X5,X6,Tavg,SNavg,Trip,SNrip
16.0,120.0,1.0,0.6,2.0,1.5,1721.1027917392357,64.71613618112418,0.596711898827853,4.484706039037104
16.0,130.0,1.25,0.7,2.25,1.75,1698.6401382990266,64.60202764207048,0.5804374607958956,4.724891328823125
16.0,140.0,1.5,0.8,2.5,2.0,1621.2986066529406,64.19726018936431,0.6457795107303118,3.798314767607432
16.0,150.0,1.75,0.9,2.75,2.25,1603.1074202400641,64.09925248643975,0.6675504037517771,3.5103187417446744
16.0,160.0,2.0,1.0,3.0,2.5,1483.2197506605935,63.424109998708,0.708075020694195,2.998414525654598
16.5,120.0,1.25,0.8,2.75,2.5,1509.0940761027787,63.57432628601937,0.6565220159585019,3.655014112008783
16.5,130.0,1.5,0.9,3.0,1.5,1753.0641722906134,64.87595628150628,0.45677161123561194,6.806017914282943
16.5,140.0,1.75,1.0,2.0,1.75,1762.3204898838771,64.92169781286292,0.650364095404433,3.7368688562178694
16.5,150.0,2.0,0.6,2.25,2.0,1814.145919899925,65.17344432767462,0.6720321821328238,3.4521985809460083
16.5,160.0,1.0,0.7,2.5,2.25,1713.008882689361,64.67519229950837,0.7310562874330102,2.720983667943939
17.0,120.0,1.5,1.0,2.25,2.25,1638.0963684580518,64.28678895042282,0.6666824165083757,3.52161998145716
17.0,130.0,1.75,0.6,2.5,2.5,1673.3785828935981,64.47188412542305,0.6831496000231119,3.3096836320733605
17.0,140.0,2.0,0.7,2.75,1.5,1874.142706286399,65.45605314184692,0.5034819352616445,5.960322142998857
17.0,150.0,1.0,0.8,3.0,1.75,1800.737393051987,65.10900765934389,0.6368404337661993,3.919387410304946
17.0,160.0,1.25,0.9,2.0,2.0,1841.2498254914485,65.30225437378925,0.7280158235261814,2.7571836226562456
17.5,120.0,1.75,0.7,3.0,2.0,1680.2003926792825,64.50722163743089,0.5118056438347123,5.8178985865320465
17.5,130.0,2.0,0.8,2.0,2.25,3.3930252952578996,10.61174194710203,258.7783668482727,-48.25855935406657
17.5,140.0,1.0,0.9,2.25,2.5,1766.8138741974908,64.94381601937653,0.7466564096880409,2.5375840468121686
17.5,150.0,1.25,1.0,2.5,1.5,1969.2626731995563,65.88607298109216,0.5429040147253686,5.305538935292108
17.5,160.0,1.5,0.6,2.75,1.75,1939.2272223928094,65.75257398095322,0.5277502568634459,5.55143093286088
18.0,120.0,2.0,0.9,2.5,1.75,1861.0860562478279,65.3953291057048,0.5088686869256045,5.867885449573636
18.0,130.0,1.0,1.0,2.75,2.0,1797.0673887171945,65.09128726281693,0.65159973109924,3.7203820717438725
18.0,140.0,1.25,0.6,3.0,2.25,1811.3915943129618,65.16024696172026,0.6071464430552053,4.3341308987545535
18.0,150.0,1.5,0.7,2.0,2.5,1929.1869541314268,65.70748632802935,0.74495117802398,2.557443774821036
18.0,160.0,1.75,0.8,2.25,1.5,2143.1788504434576,66.6211682973612,0.5380231896614388,5.383980102844864
