X1,X2,X3,X4,X5,X6,X7,X8,X9
0.093,0.097,0.133,0.133,0.094,0.119,0.072,0.14,0.118
0.082,0.118,0.072,0.061,0.089,0.118,0.105,0.117,0.073
0.127,0.087,0.097,0.108,0.118,0.065,0.125,0.045,0.111
0.045,0.031,0.061,0.072,0.029,0.054,0.053,0.095,0.045
