X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG,THD
23,130,3,1,1.0,10,12,16,16,-1945.12,56.98,21.18,37.3
21,120,1,1,0.5,15,17,4,0,-1445.67,37.3,17.84,114.69
22,140,1,1,1.0,11,11,8,8,-1402.65,155.66,20.18,34.14
15,130,1,4,1.0,13,15,4,0,-882.18,115.96,14.4,81.52
24,110,1,2,1.0,10,16,16,4,-1391.64,18.95,20.86,34.39
23,150,2,1,0.5,12,12,16,16,-2131.89,43.42,20.34,40.13
15,130,1,4,1.0,13,14,14,16,-928.95,90.14,17.3,103.2
23,150,1,1,0.5,13,13,14,14,-2106.49,46.31,20.28,54.96
21,150,1,2,0.5,15,16,14,12,-1909.03,37.84,19.11,112.06
25,120,2,1,1.0,14,16,4,0,-1584.58,50.04,20.09,96.5
23,130,1,2,0.5,13,17,8,0,-1626.33,31.69,20.26,73.61
24,150,1,2,1.0,10,10,16,16,-1892.15,37.14,20.35,41.35
15,120,4,1,1.0,14,17,4,0,-1062.82,63.02,19.68,106.69
21,130,1,2,0.5,15,17,10,6,-1626.54,37.52,18.14,114.54
23,120,2,1,0.5,14,14,4,4,-1669.38,71.45,19.94,76.18
15,110,4,1,0.5,14,17,12,16,-1310.71,68.8,19.69,107.57
19,130,1,1,1.0,14,16,16,16,-1851.58,66.85,19.83,108.76
23,140,2,1,1.0,11,11,6,6,-1621.79,78.53,20.23,34.38
23,110,1,1,0.5,10,16,16,8,-1524.86,34.1,20.85,37.69
18,120,3,1,1.0,10,10,4,4,-1109.15,60.11,19.96,40.44
23,100,1,3,1.0,10,12,16,12,-1401.57,27.91,20.81,35.54
22,150,3,1,0.5,10,12,16,16,-1967.04,60.96,21.06,37.07
21,120,1,2,0.5,15,17,6,2,-1599.33,31.77,18.02,113.23
15,120,4,1,1.0,14,17,6,0,-1047.22,60.71,19.8,96.54
25,100,2,1,1.0,10,16,14,2,-1366.35,23.56,20.37,34.38
25,140,1,2,0.5,10,12,16,12,-1915.38,36.38,20.7,35.17
21,110,2,2,0.5,15,17,8,4,-1666.73,55.59,18.11,114.16
23,130,1,2,0.5,13,17,12,4,-1693.12,32.19,20.41,74.36
16,150,4,1,1.0,10,10,4,4,-1040.4,44.65,19.89,40.22
24,150,2,1,0.5,10,10,16,16,-2043.87,46.24,20.15,41.08
24,150,1,2,0.5,10,10,4,4,-1750.67,53.17,20.03,40.49
17,110,2,2,1.0,10,10,4,4,-976.3,29.97,20.18,40.41
16,150,3,1,0.5,12,12,0,0,-1181.83,41.55,20.14,39.54
24,100,2,1,1.0,10,16,12,0,-1268.61,30.64,20.43,34.3
25,140,2,1,0.5,10,10,16,16,-2095.23,37.9,20.2,40.9
19,120,2,1,0.5,14,16,16,16,-1790.43,62.75,19.75,108.5
20,130,1,3,1.0,10,10,4,4,-1231.83,46.24,20.33,40.3
23,120,3,1,1.0,12,12,0,0,-1505.02,78.44,20.11,39.5
25,130,1,1,1.0,10,10,16,16,-2011.02,40.77,20.17,40.8
22,140,3,1,1.0,11,11,14,14,-1817.11,73.54,20.21,34.69
19,130,2,1,0.5,14,16,16,16,-1844.25,60.06,19.8,108.39
23,100,1,3,1.0,10,10,12,12,-1363.66,35.19,20.06,40.6
24,100,2,1,0.5,10,16,12,0,-1438.5,35.7,20.47,34.47
20,130,1,2,1.0,10,10,2,2,-1190.76,57.38,19.86,40.75
24,140,2,1,0.5,10,10,16,16,-1997.99,49.63,20.17,40.64
16,120,4,1,1.0,10,10,2,2,-966.7,35.36,19.83,39.61
24,150,2,1,1.0,10,10,8,8,-1762.72,77.36,20.03,40.34
22,150,3,1,0.5,10,10,4,4,-1685.27,76.73,19.96,40.72
24,110,1,2,1.0,10,14,16,8,-1512.26,31.03,20.88,34.37
24,130,2,1,0.5,10,10,16,16,-1935.39,52.49,20.14,40.53
