X1,X2,X3,X4,X5,X6,X7,X8,X9
0.075,0.083,0.061,0.083,0.072,0.081,0.132,0.054,0.093
0.08,0.078,0.044,0.084,0.089,0.071,0.011,0.094,0.076
0.085,0.079,0.135,0.073,0.079,0.088,0.098,0.092,0.071
0.01,0.005,0.091,0.011,0.017,0.017,0.121,0.04,0.022
