X1,X2,X3,X4,X5,X6,X7,X8,X9,Tavg,Trip,Tcog,ANavg,ANrip,ANcog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,0.0,600.65,31.83,18.08,0.25334813875541423,0.19358644928668284,0.10092304828798941
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,8.0,954.27,69.45,19.63,0.07753009082870012,0.08868908231580994,0.01414573338133469
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,16.0,953.78,76.06,20.14,0.07770372958709505,0.18270528195831806,0.06895760933187374
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,8.0,1082.94,46.73,18.31,0.03865584352177058,0.021836103396927122,0.06395595622071867
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,16.0,1211.72,53.82,19.12,0.013158285939891712,7.610066687769703e-05,0.0006113817315298383
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,0.0,888.21,37.88,20.07,0.10269140871127717,0.10325546588444084,0.058990451140156885
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,16.0,1342.2,60.37,17.65,0.0010066080486975403,0.014335989012148437,0.19255477920557634
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,0.0,1000.77,30.3,19.14,0.061935905406879266,0.22089105570783707,0.00036451713235419696
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,8.0,986.46,48.91,20.68,0.0665485761687156,0.011028561988209173,0.1719847864792649
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,8.0,1200.98,74.16,20.1,0.01477196724618446,0.1522390088881111,0.06316687116263936
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,16.0,1419.0,61.1,18.35,0.0002929597829342301,0.017969274655515642,0.0583838695536108
20.0,10.0,2.5,1.0,2.0,1.0,1.25,15.0,0.0,1463.63,56.5,19.1,0.002070231073085153,0.0019215734813013798,0.0009217257990649294
20.0,12.5,3.5,0.5,1.0,1.5,1.5,12.5,16.0,1713.59,76.93,20.53,0.04180757111392341,0.19758251975803134,0.1387241900367604
20.0,12.5,3.6,0.5,1.0,2.0,1.0,15.0,0.0,1362.89,53.59,17.36,0.0003447962543349911,0.00017514558449641633,0.27092106455460296
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,8.0,1460.95,76.19,19.23,0.0019180343823191534,0.18489131720841398,3.918485701200884e-05
20.0,15.0,1.0,0.75,1.0,1.5,1.5,15.0,0.0,1318.1,53.1,19.94,0.002214094986954355,0.0005218476683002585,0.04254309722007941
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,8.0,1291.69,55.47,17.99,0.004076869120243973,0.000558647095256553,0.11767369300133994
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,16.0,1158.95,32.72,19.82,0.02198404088509277,0.17853176853340694,0.029741404434256373
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,16.0,1803.68,51.5,19.39,0.06852055305922675,0.0029400997954636223,0.0026347897854874128
25.0,10.0,2.6,0.75,1.0,1.0,1.5,12.5,0.0,1627.97,78.91,20.91,0.02250495383913965,0.23361146218468024,0.22991949960937585
25.0,10.0,2.6,0.75,1.0,1.5,1.0,15.0,6.0,1740.08,51.16,17.59,0.04898080307005469,0.0037076726219149128,0.20767347258651891
25.0,12.5,1.0,1.0,1.0,2.0,1.25,12.5,0.0,1584.5,75.61,19.97,0.014974544900573386,0.1752386222455507,0.046100592426056776
25.0,12.5,1.0,1.0,2.5,1.0,1.5,15.0,6.0,1754.46,37.4,19.96,0.053112476480591586,0.10939390602951057,0.04489889082364127
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,16.0,1632.78,27.92,18.19,0.02343212978159376,0.26694406915917795,0.08219572346266764
25.0,15.0,2.5,0.5,1.0,2.0,1.25,15.0,6.0,2052.55,39.15,19.13,0.1764338515131564,0.08786899056886843,0.0004800144983971083
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,16.0,2173.03,35.63,20.09,0.24667413242483607,0.133561146557407,0.06175886128805517
25.0,15.0,2.5,0.5,1.1,1.5,1.0,12.5,0.0,1806.52,72.76,18.14,0.06946940182322822,0.13156711277686073,0.09047009583146583
