X1,X2,X3,X4,X5,X6,X7,X8,X9
0.077,0.063,0.059,0.105,0.068,0.071,0.049,0.086,0.059
0.01,0.032,0.074,0.036,0.053,0.039,0.049,0.039,0.054
0.08,0.072,0.035,0.026,0.046,0.057,0.07,0.042,0.055
0.07,0.04,0.039,0.079,0.022,0.032,0.021,0.047,0.005
