X0,X1,X2,X3,X4,X5,ANG,AVG,RIP
17.9,100.5,2.73,0.31,2.17,2.34,-44.0,-880.853,50.476
19.26,112.4,2.11,0.93,2.52,2.19,-43.0,-1018.851,61.278
24.2,111.4,1.26,0.23,1.94,0.85,-44.0,-1772.505,45.488
21.07,120.7,3.09,0.19,1.0,0.98,-43.0,-1486.395,51.39
20.74,117.4,1.17,0.23,2.99,1.5,-42.0,-1230.133,46.253
20.19,108.7,2.71,1.0,1.67,1.69,-43.0,-1145.208,60.011
24.76,145.1,2.31,0.03,1.0,0.63,-44.0,-1982.868,53.565
19.52,118.8,3.57,0.17,1.0,2.04,-43.0,-1130.427,64.158
23.24,131.6,2.72,0.48,1.0,1.2,-43.0,-1618.245,59.042
19.92,136.5,2.41,0.46,1.41,0.52,-45.0,-1623.626,60.161
22.58,116.0,2.92,0.22,1.0,1.55,-43.0,-1479.055,59.839
22.55,123.2,1.37,0.31,2.51,1.85,-42.0,-1397.673,58.883
22.7,106.5,1.07,0.52,2.62,0.52,-42.0,-1596.092,44.602
21.72,134.3,2.35,0.91,1.53,0.51,-44.0,-1654.658,54.335
19.84,143.0,3.44,0.65,1.0,1.66,-43.0,-1280.152,68.292
17.74,128.0,3.02,0.35,1.69,0.89,-44.0,-1335.631,45.951
22.47,114.5,2.87,0.43,1.0,1.2,-43.0,-1484.428,55.819
17.14,138.4,1.93,0.73,2.9,0.94,-42.0,-1138.042,55.3
17.14,109.9,1.43,0.38,1.08,0.72,-44.0,-1169.516,71.571
21.32,117.3,3.32,0.46,1.0,2.48,-44.0,-1283.777,69.764
16.76,117.1,2.19,0.54,2.26,0.96,-44.0,-1228.919,53.955
15.99,120.9,3.08,0.42,1.15,2.15,-45.0,-792.406,41.034
19.17,136.0,1.06,0.3,1.44,0.69,-45.0,-1495.559,71.038
18.43,102.8,2.72,0.13,1.54,1.9,-44.0,-1017.757,53.393
21.07,121.0,1.56,0.19,1.0,0.92,-44.0,-1496.704,71.47
15.54,121.0,3.04,0.95,1.0,2.46,-45.0,-717.704,50.684
23.6,104.8,2.13,0.08,1.43,0.75,-44.0,-1756.902,49.59
24.76,145.1,2.31,0.03,1.0,0.64,-44.0,-1980.348,53.706
16.88,131.3,3.72,0.95,1.28,1.8,-43.0,-914.9,48.716
20.74,117.4,1.17,0.55,3.0,1.5,-42.0,-1158.275,45.786
22.48,114.5,2.74,0.43,1.0,0.56,-44.0,-1659.413,48.279
22.74,106.3,2.61,0.01,1.0,0.5,-45.0,-1748.193,45.335
16.33,105.9,1.66,0.52,3.25,0.55,-42.0,-1361.866,65.174
15.66,137.8,2.7,0.93,1.01,1.19,-44.0,-921.159,38.903
22.28,127.1,2.85,0.95,1.01,0.97,-43.0,-1502.138,57.889
24.11,116.1,2.01,0.45,1.0,1.32,-43.0,-1622.636,60.226
18.9,143.0,3.28,0.39,1.0,0.57,-44.0,-1471.982,50.478
22.45,136.3,1.02,0.62,1.97,1.22,-45.0,-1562.882,56.132
24.2,111.4,1.2,0.23,1.94,0.85,-45.0,-1775.776,45.002
21.64,129.3,2.94,0.59,1.0,0.78,-43.0,-1557.9,53.332
15.23,147.3,3.67,0.22,1.55,1.2,-44.0,-1054.465,30.415
16.81,144.8,2.28,0.92,1.86,1.68,-45.0,-953.082,49.953
15.81,106.6,1.21,0.63,3.41,1.06,-47.0,-999.096,29.834
16.86,117.4,2.19,0.54,2.25,1.87,-45.0,-888.636,44.208
18.68,117.3,2.84,0.45,1.0,2.48,-44.0,-1005.413,64.854
17.21,136.0,1.12,0.3,1.4,0.94,-45.0,-1212.411,62.252
16.02,143.0,3.08,0.41,1.09,1.66,-44.0,-920.549,42.75
24.94,127.3,2.26,0.14,1.0,0.62,-44.0,-1925.261,51.852
17.94,145.3,2.39,0.91,1.0,0.82,-44.0,-1230.707,59.339
23.12,143.7,2.79,0.62,1.0,1.42,-43.0,-1604.617,65.831
15.22,147.4,3.46,0.49,1.53,1.16,-44.0,-1025.919,31.163
23.82,137.5,1.05,0.62,1.98,1.56,-44.0,-1597.4,55.669
16.43,100.3,1.05,0.98,1.65,0.72,-46.0,-1044.521,42.108
22.74,145.0,2.68,0.01,1.0,0.5,-44.0,-1885.19,51.313
23.65,137.4,2.55,0.09,1.0,0.74,-44.0,-1843.028,53.36
18.95,148.2,1.55,0.13,1.41,0.98,-44.0,-1446.094,70.244
15.98,131.1,3.87,0.99,1.2,1.09,-43.0,-963.322,31.177
22.51,136.5,2.42,0.62,1.17,0.51,-44.0,-1750.773,53.987
22.13,125.7,2.57,0.59,1.27,0.78,-43.0,-1610.333,51.96
17.12,139.9,1.89,0.03,2.67,2.19,-45.0,-976.966,46.122
16.26,140.5,2.01,0.22,2.75,2.26,-44.0,-863.578,48.064
16.4,109.9,3.4,0.97,1.66,1.88,-44.0,-808.346,37.083
23.26,119.4,1.23,0.65,1.04,2.38,-44.0,-1475.734,69.32
22.7,137.0,1.5,0.52,2.19,0.52,-43.0,-1749.884,53.655
21.7,113.1,3.07,0.89,1.0,1.48,-43.0,-1326.842,61.311
19.92,136.5,2.42,0.45,1.41,0.52,-45.0,-1626.933,59.924
16.17,147.6,2.35,0.58,2.22,1.89,-44.0,-898.477,46.477
17.15,139.9,1.89,0.02,2.78,1.6,-44.0,-1106.247,45.855
16.4,109.9,3.4,0.97,1.7,1.88,-43.0,-813.536,37.761
19.94,111.3,2.78,0.31,1.76,2.32,-44.0,-1111.483,64.67
17.57,105.2,3.09,0.43,1.64,0.8,-45.0,-1267.217,41.324
24.51,145.3,2.38,0.92,1.0,0.82,-43.0,-1803.971,60.036
18.62,138.2,2.46,0.14,1.0,0.86,-44.0,-1391.134,64.469
17.48,111.9,2.34,0.46,1.17,1.5,-44.0,-989.157,51.099
20.16,123.7,1.46,0.62,2.63,1.97,-44.0,-1176.1,57.671
18.24,143.6,3.53,0.22,1.31,2.42,-43.0,-1079.025,62.888
21.71,134.3,2.35,0.91,1.53,1.17,-42.0,-1467.032,59.33
23.76,144.7,1.26,0.04,1.52,2.26,-43.0,-1659.425,68.283
15.81,121.4,1.33,0.63,3.22,1.9,-47.0,-768.25,52.959
22.82,138.2,1.08,0.52,2.59,0.52,-42.0,-1636.814,50.066
23.24,131.6,2.63,0.43,1.0,0.76,-43.0,-1719.638,54.245
17.73,139.1,3.02,0.35,1.02,0.89,-44.0,-1264.922,51.364
23.62,119.1,2.72,0.2,1.12,2.12,-43.0,-1514.558,65.175
19.84,123.7,3.27,0.66,1.0,1.62,-43.0,-1208.299,63.96
24.09,128.7,2.63,0.62,1.0,1.54,-43.0,-1617.391,64.47
19.01,115.9,2.82,0.43,1.76,1.86,-43.0,-1091.47,59.249
17.86,125.7,3.15,0.86,1.57,1.9,-44.0,-979.761,54.279
16.38,140.5,2.0,0.02,2.8,1.16,-42.0,-1274.278,55.141
17.82,132.0,2.57,0.96,2.08,0.63,-43.0,-1325.185,52.685
17.88,121.3,1.06,0.68,1.63,1.86,-45.0,-942.498,57.971
18.0,107.1,3.7,0.54,1.1,1.78,-43.0,-960.33,47.917
21.19,115.9,3.23,0.43,1.0,1.86,-43.0,-1278.074,65.128
19.1,138.4,1.93,0.73,2.49,0.68,-42.0,-1399.375,65.407
19.84,120.7,3.41,0.65,1.0,1.45,-43.0,-1214.444,60.189
16.73,123.4,2.03,0.8,3.03,2.34,-44.0,-804.434,42.924
24.3,128.0,2.46,0.36,1.0,0.89,-43.0,-1785.677,57.356
20.16,123.9,1.32,0.54,1.08,1.83,-44.0,-1215.459,71.416
16.15,147.5,2.37,0.12,2.22,0.98,-44.0,-1347.55,57.698
15.87,129.0,3.2,0.92,1.82,0.75,-44.0,-1123.743,37.341
15.32,136.0,2.4,0.04,2.39,1.03,-44.0,-1304.955,55.797
24.68,106.4,2.31,0.03,1.02,0.63,-44.0,-1840.131,46.926
23.44,145.3,2.38,0.55,1.28,1.07,-42.0,-1727.942,62.386
21.07,120.7,3.06,0.19,1.0,1.5,-43.0,-1343.046,60.249
