X0,X1,X2,X3,X4,X5,ANG,AVG,RIP
19.17,133.2,1.0,1.0,1.44,1.59,-44.0,-1141.158,67.69
16.86,110.7,2.19,1.0,2.26,2.18,-45.0,-810.213,44.98
17.04,142.7,1.08,1.0,2.25,2.06,-45.0,-926.702,56.557
16.4,101.9,3.4,1.0,1.74,2.19,-44.0,-762.102,39.629
23.76,143.7,1.26,1.0,1.51,2.38,-43.0,-1620.933,70.728
15.98,115.3,3.87,1.0,1.29,1.82,-43.0,-796.841,39.578
21.87,140.1,1.05,1.0,3.13,2.25,-42.0,-1090.588,80.442
17.8,137.4,1.31,1.0,3.53,1.8,-42.0,-781.154,57.639
17.88,97.8,1.06,1.0,1.63,1.76,-45.0,-872.392,48.09
19.92,93.2,2.72,1.0,1.8,2.2,-44.0,-1032.696,59.944
16.02,114.8,3.08,1.0,1.15,2.04,-45.0,-754.631,42.069
21.64,120.9,3.11,1.0,1.0,1.64,-43.0,-1360.265,65.613
16.39,138.4,2.19,1.0,2.9,1.85,-42.0,-839.946,48.421
22.51,133.6,2.99,1.0,1.0,1.85,-43.0,-1485.651,70.087
17.7,143.8,2.28,1.0,2.62,2.12,-42.0,-963.774,59.101
16.15,147.0,2.35,1.0,2.22,1.74,-44.0,-894.042,45.825
24.03,124.4,1.01,1.0,1.98,2.02,-43.0,-1535.479,62.447
23.86,111.4,2.87,1.0,1.0,2.43,-44.0,-1506.535,64.918
21.91,149.8,1.52,1.0,2.65,2.19,-42.0,-1292.114,71.91
15.66,135.3,3.26,1.0,1.94,1.62,-43.0,-847.474,37.936
15.2,91.6,1.08,1.0,3.58,2.04,-47.0,-592.826,84.034
20.53,140.5,1.37,1.0,2.76,2.47,-42.0,-1203.119,71.459
20.61,91.1,3.34,1.0,1.0,1.89,-44.0,-1090.229,59.908
23.64,134.8,2.67,1.0,1.07,1.62,-43.0,-1585.166,66.407
15.45,96.4,1.68,1.0,2.68,1.52,-47.0,-756.679,28.943
15.72,148.0,2.7,1.0,1.76,2.24,-45.0,-801.963,51.209
16.95,124.9,3.91,1.0,1.11,2.0,-44.0,-878.456,49.92
21.2,139.7,1.47,1.0,1.21,1.98,-44.0,-1339.514,74.47
21.06,124.1,1.95,1.0,2.31,1.88,-42.0,-1235.69,65.844
20.51,134.7,3.01,1.0,1.2,1.87,-43.0,-1272.453,70.321
21.3,102.6,3.26,1.0,1.04,2.31,-44.0,-1197.588,66.573
16.93,128.4,2.57,1.0,1.79,1.56,-45.0,-926.907,45.612
22.35,136.3,3.0,1.0,1.0,1.74,-43.0,-1496.27,70.035
21.17,146.9,3.29,1.0,1.0,2.14,-43.0,-1375.526,76.007
18.9,119.2,2.81,1.0,1.93,2.42,-44.0,-1017.078,67.237
18.95,147.8,1.52,1.0,1.41,2.0,-44.0,-1138.233,72.241
15.22,146.9,3.48,1.0,1.53,1.83,-44.0,-801.213,49.541
16.31,138.6,2.03,1.0,2.75,2.38,-44.0,-815.756,47.625
23.45,144.3,2.38,1.0,1.43,1.78,-43.0,-1622.805,68.835
19.9,125.9,1.05,1.0,2.3,2.31,-44.0,-1124.818,68.653
18.15,143.6,2.73,1.0,2.09,2.11,-43.0,-1024.86,62.651
15.54,115.2,3.04,1.0,1.0,2.48,-45.0,-720.114,47.672
18.77,148.4,2.81,1.0,1.9,2.13,-43.0,-1105.071,69.822
