X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
17.33,119.5,1.21,0.58,3.76,2.16,1.62,12.47,15.57,5.0,2.51,21.16
24.15,97.3,3.19,0.73,0.52,2.56,1.76,10.07,16.78,8.78,2.07,21.76
21.39,95.9,3.62,0.53,0.5,2.2,1.7,10.4,10.55,0.22,0.37,20.19
23.64,89.0,1.54,0.24,0.86,2.31,1.76,11.59,14.97,7.77,4.39,22.57
19.48,122.8,2.1,0.66,0.96,2.46,1.89,13.05,16.1,8.08,7.42,21.4
15.63,136.1,1.13,0.08,0.51,2.19,1.69,10.16,14.57,2.89,7.23,21.16
20.33,118.6,0.7,0.6,3.35,2.1,1.57,14.29,14.95,2.89,3.56,20.68
21.08,119.6,0.69,0.5,3.54,2.1,1.57,14.21,14.95,4.71,3.97,19.87
23.52,93.3,2.66,0.15,0.89,2.4,1.74,11.94,16.36,7.54,3.12,21.84
23.48,139.0,0.55,0.87,2.8,2.48,1.97,10.8,11.88,1.01,2.09,21.49
21.22,132.7,0.99,0.7,3.06,2.76,1.82,11.25,11.39,1.91,2.05,21.33
20.33,115.4,1.6,0.23,2.56,2.38,1.88,14.94,15.99,6.58,5.53,22.5
22.42,108.4,3.09,0.58,0.68,2.44,1.79,13.76,17.01,4.45,1.42,20.93
16.45,120.1,1.28,0.52,3.25,2.04,1.54,14.36,16.75,8.62,9.64,20.42
21.39,102.4,3.61,0.26,0.5,2.34,1.83,14.54,17.46,0.22,3.14,20.16
23.2,102.9,0.74,0.03,1.18,2.2,1.53,12.94,14.1,6.86,5.7,21.86
24.71,124.2,1.09,0.71,2.32,2.66,1.78,12.3,12.96,2.27,2.93,21.16
23.98,95.7,3.2,0.65,0.5,2.45,1.61,10.07,13.29,8.63,5.41,21.63
18.48,120.1,1.77,0.88,2.73,2.32,1.67,11.38,17.17,6.29,0.5,20.51
24.37,99.2,1.37,0.49,2.06,2.58,1.63,11.37,12.63,4.78,3.52,21.78
22.92,128.8,3.45,0.41,0.5,2.24,1.66,10.86,13.27,3.86,6.27,20.58
24.71,115.2,1.06,0.7,2.55,2.31,1.78,12.64,12.96,2.27,2.59,19.91
