X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
17.07,121.9,2.0,0.4,1.74,2.16,1.66,10.36,15.8,7.87,3.54,-47.0,-1144.34,102.42
23.45,108.0,3.35,0.36,0.5,2.5,1.69,10.3,16.0,7.76,2.06,-43.0,-1212.75,115.75
16.28,122.8,2.1,0.27,0.96,2.07,1.57,13.03,16.3,7.67,4.4,-46.0,-1013.44,78.21
23.9,120.1,0.77,0.38,1.24,2.18,1.66,10.33,15.53,8.75,3.55,-44.0,-1413.53,97.35
17.9,121.9,1.99,0.81,1.65,2.27,1.77,11.54,15.54,7.54,3.54,-46.0,-1101.63,94.57
18.3,115.8,1.44,0.81,1.53,2.21,1.71,14.26,17.12,2.95,5.37,-45.0,-1123.01,62.39
20.46,123.9,2.09,0.51,2.28,2.31,1.8,10.28,16.46,5.04,6.08,-46.0,-1413.15,91.61
20.28,118.8,1.1,0.55,1.26,2.54,1.86,10.88,16.9,0.32,5.82,-46.0,-1062.48,180.39
20.36,130.0,1.9,0.73,1.29,2.48,1.76,10.45,12.74,1.1,1.48,-44.0,-1275.52,74.84
24.75,85.6,2.88,0.25,0.5,2.36,1.81,11.26,16.38,6.93,1.87,-44.0,-1275.12,113.73
23.3,111.9,2.87,0.08,0.84,2.62,1.84,12.28,16.85,7.42,2.85,-44.0,-1392.58,102.32
21.17,136.0,3.8,0.56,0.5,2.52,1.7,12.43,14.83,8.79,7.0,-46.0,-1398.03,109.2
24.37,99.2,1.4,0.64,2.04,2.57,1.63,11.3,12.63,4.78,3.52,-45.0,-1441.08,85.37
23.48,97.8,1.2,0.87,2.29,2.29,1.79,10.25,11.88,1.01,1.46,-44.0,-1432.42,62.03
18.26,115.7,1.44,0.81,1.53,2.21,1.71,14.16,17.11,2.95,0.51,-36.0,-1260.93,75.32
23.31,115.7,3.37,0.41,0.51,2.24,1.64,10.86,16.88,3.86,2.81,-44.0,-1305.06,108.46
20.3,108.2,3.35,0.35,0.5,2.32,1.82,10.89,16.0,8.89,3.78,-46.0,-1096.42,111.15
17.33,119.5,1.21,0.58,3.76,2.16,1.62,12.47,15.57,5.0,2.51,-47.0,-1140.23,95.98
24.15,97.3,3.19,0.73,0.52,2.56,1.76,10.07,16.78,8.78,2.07,-42.0,-1124.62,125.57
21.39,95.9,3.62,0.53,0.5,2.2,1.7,10.4,10.55,0.22,0.37,-44.0,-1334.2,78.26
23.64,89.0,1.54,0.24,0.86,2.31,1.76,11.59,14.97,7.77,4.39,-45.0,-1357.16,103.13
19.48,122.8,2.1,0.66,0.96,2.46,1.89,13.05,16.1,8.08,7.42,-47.0,-1218.26,98.65
15.63,136.1,1.13,0.08,0.51,2.19,1.69,10.16,14.57,2.89,7.23,-46.0,-748.84,148.41
20.33,118.6,0.7,0.6,3.35,2.1,1.57,14.29,14.95,2.89,3.56,-44.0,-1356.94,42.3
21.08,119.6,0.69,0.5,3.54,2.1,1.57,14.21,14.95,4.71,3.97,-44.0,-1378.98,49.66
23.52,93.3,2.66,0.15,0.89,2.4,1.74,11.94,16.36,7.54,3.12,-45.0,-1380.35,105.67
23.48,139.0,0.55,0.87,2.8,2.48,1.97,10.8,11.88,1.01,2.09,-44.0,-1451.63,52.49
21.22,132.7,0.99,0.7,3.06,2.76,1.82,11.25,11.39,1.91,2.05,-44.0,-1298.57,51.64
20.33,115.4,1.6,0.23,2.56,2.38,1.88,14.94,15.99,6.58,5.53,-48.0,-1580.25,60.07
22.42,108.4,3.09,0.58,0.68,2.44,1.79,13.76,17.01,4.45,1.42,-41.0,-1356.69,82.69
16.45,120.1,1.28,0.52,3.25,2.04,1.54,14.36,16.75,8.62,9.64,-48.0,-1272.94,59.02
21.39,102.4,3.61,0.26,0.5,2.34,1.83,14.54,17.46,0.22,3.14,-44.0,-1291.92,120.12
23.2,102.9,0.74,0.03,1.18,2.2,1.53,12.94,14.1,6.86,5.7,-47.0,-1450.15,85.74
24.71,124.2,1.09,0.71,2.32,2.66,1.78,12.3,12.96,2.27,2.93,-45.0,-1568.74,79.25
23.98,95.7,3.2,0.65,0.5,2.45,1.61,10.07,13.29,8.63,5.41,-45.0,-1329.5,109.59
18.48,120.1,1.77,0.88,2.73,2.32,1.67,11.38,17.17,6.29,0.5,-37.0,-1173.27,107.36
24.37,99.2,1.37,0.49,2.06,2.58,1.63,11.37,12.63,4.78,3.52,-44.0,-1482.45,82.51
22.92,128.8,3.45,0.41,0.5,2.24,1.66,10.86,13.27,3.86,6.27,-46.0,-1521.89,135.15
24.71,115.2,1.06,0.7,2.55,2.31,1.78,12.64,12.96,2.27,2.59,-44.0,-1633.78,59.2
21.16,138.6,1.14,0.96,2.06,2.22,1.71,10.28,11.87,1.67,0.08,-44.0,-1366.18,62.89
18.77,120.8,0.63,0.58,3.87,2.16,1.62,12.38,15.67,5.01,2.51,-44.0,-1150.43,80.33
24.08,122.2,0.89,0.49,2.6,2.33,1.82,10.03,16.46,4.43,2.46,-44.0,-1453.67,82.01
17.9,121.9,1.94,0.56,1.65,2.28,1.77,11.5,15.54,7.54,7.07,-46.0,-1198.41,54.91
24.57,93.8,2.57,0.23,1.0,2.38,1.72,14.19,16.32,4.24,2.11,-44.0,-1553.35,87.43
24.05,120.1,1.85,0.38,1.24,2.26,1.76,10.33,15.53,8.62,3.42,-45.0,-1510.69,99.27
21.24,127.0,0.56,0.99,0.77,2.62,1.96,10.38,16.58,11.37,5.17,-47.0,-1042.88,132.44
23.3,111.9,2.86,0.58,0.78,2.62,1.84,14.49,16.85,3.12,2.85,-43.0,-1457.88,87.71
23.32,116.0,3.37,0.41,0.51,2.24,1.64,10.86,16.88,3.86,2.8,-44.0,-1307.36,107.89
24.11,102.9,0.74,0.03,1.18,2.2,1.53,12.9,14.94,5.99,3.95,-46.0,-1470.24,93.52
23.88,91.1,3.15,0.17,0.5,2.32,1.75,10.12,17.58,7.7,0.24,-37.0,-1172.69,125.45
24.83,87.2,2.88,0.25,0.5,2.36,1.81,11.29,11.34,1.91,1.86,-45.0,-1534.33,89.45
