threshold,clusters,distance_avg,distance_rip,distance_cog
0.01,17042,0.006497690694089739,0.005082032741876182,0.0213378783212476
0.025,14777,0.011437598711198031,0.009143556506368557,0.037341519449662575
0.05,10676,0.019848678447434414,0.01882233051279628,0.06978499188903312
0.075,8757,0.030727503421705504,0.032434592218262115,0.10544806752906798
0.1,8463,0.039974775735529475,0.04377909379614253,0.13122280386831195
0.125,8967,0.04933145048791208,0.05290128105125555,0.15919701213818852
0.15,8618,0.05583337460412133,0.06074947907234725,0.17881207758611864
0.175,9391,0.06553701513678818,0.06824060489985048,0.194047174895328
0.2,9996,0.07424616681371479,0.07738965676391284,0.21832505729564544
0.22499999999999998,9811,0.07739004422429918,0.07910934899642301,0.21371016526725864
0.25,10450,0.08467397600682912,0.08705956671109623,0.24462365591397833
0.27499999999999997,7519,0.09379774331041106,0.09534762692388946,0.2561173229622426
0.3,8770,0.0976463318669994,0.10298357908033133,0.24451871657754
0.32499999999999996,8982,0.09805406361572816,0.09846301234649822,0.2622277292291639
0.35,10506,0.10326841895041282,0.09309875216253868,0.25334837855075293
0.37499999999999994,10266,0.11278720566415879,0.10997673794869726,0.2632173769226527
0.39999999999999997,7578,0.12951857608731382,0.13375376336557407,0.2925133689839571
0.42499999999999993,7666,0.13589255777642534,0.1248050623071878,0.3061879297173412
0.44999999999999996,7029,0.16858537114180172,0.1340479404012923,0.3410344251336896
0.475,4981,0.16703782606200032,0.153035198095562,0.33140495867768566
0.49999999999999994,5339,0.17389792486822242,0.15866994236260548,0.34316798819841404
0.525,5949,0.17671103683252512,0.16547032007837992,0.36949325184619286
0.5499999999999999,5698,0.19409211299332624,0.18273812733026157,0.37485326724924967
0.575,8952,0.2140406485184083,0.18982741030437,0.39396724598930455
0.6,4615,0.2038390157425508,0.19806206942748347,0.39823367363474294
0.625,6278,0.23787475234231556,0.21563793005724652,0.39621707268766065
0.65,5689,0.2730270240194691,0.23727383224067466,0.46761734997029075
0.675,6914,0.24434580033465925,0.22485084612939235,0.4479190885840501
0.7,6003,0.2656998642872176,0.268653290256759,0.3929144385026736
0.725,7634,0.33942658498326134,0.29928705030728503,0.4998090145148968
0.75,790,0.2926538847135984,0.32833337381883554,0.4629488158899922
0.775,3943,0.2918326239805872,0.3348842961153793,0.44652406417112256
