threshold,clusters,distance_avg,distance_rip,distance_cog
0.01,17052,0.006435313853424619,0.004983927674645895,0.021373079397582873
0.020000000000000004,15448,0.010166847832599274,0.007836410026705622,0.03260575542562266
0.030000000000000006,13758,0.012519641543306443,0.01059461418061638,0.04300018265025521
0.04000000000000001,11938,0.01546575496665504,0.013502671833331648,0.05240641711229946
0.05000000000000001,10149,0.018759394981753812,0.017626137639038773,0.0648296657470969
0.06000000000000001,8402,0.022449872831682958,0.02222274541948067,0.0794935783171077
0.07,7021,0.025968947090971826,0.026912319726775595,0.0907996650617542
0.08,5745,0.030223557866973845,0.0314864926463207,0.10198984440435534
0.09000000000000001,4544,0.0342435526760974,0.036734492429703836,0.11706891037468933
0.1,3816,0.03726149845495664,0.040473688793383714,0.12637195159123213
0.2,790,0.07696860170123537,0.08418877386575031,0.2223162263548566
0.30000000000000004,292,0.10866636153030039,0.11290884065497227,0.2839373464373463
0.4,138,0.15190982038453935,0.14599609425319335,0.33391670717873906
0.5,65,0.1871996242383278,0.18635903374893342,0.3678999855470441
0.6000000000000001,32,0.24310457831657853,0.21858666837634952,0.4058034540194614
0.7,16,0.2840227228193424,0.23941931644278186,0.4553475935828876
0.8,10,0.2805616839996807,0.27707518562602734,0.4621212121212119
0.9000000000000001,5,0.3801781925766801,0.3433656407640424,0.5126559714795005
1.0,3,0.2671481837319955,0.3632296966763894,0.4893048128342242

