X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
22.92,119.8,3.46,0.41,0.5,2.22,1.63,10.86,13.27,3.86,6.17,-30.0,-1803.37,84.05
20.12,135.1,0.62,0.17,3.62,2.28,1.77,11.63,16.88,7.78,5.81,-47.0,-1446.36,31.5
22.59,126.3,0.64,0.99,0.77,2.63,1.97,10.04,14.18,7.18,5.21,-25.0,-1727.6,65.63
24.67,99.2,1.32,0.9,2.06,2.6,1.63,11.37,12.52,4.78,5.81,-39.0,-1649.03,58.61
20.28,119.0,0.69,0.73,2.32,2.31,1.78,12.35,12.74,1.09,1.48,-45.0,-1238.26,41.93
21.43,135.9,3.75,0.57,0.5,2.51,1.7,12.0,14.65,4.54,1.89,-42.0,-1371.78,63.28
20.28,118.8,0.51,0.59,1.26,2.4,1.86,10.41,16.9,0.5,5.82,-25.0,-1529.78,94.27
18.27,121.9,2.0,0.81,1.74,2.34,1.78,11.54,12.77,4.77,3.54,-45.0,-1231.71,54.38
22.92,115.7,3.45,0.41,0.5,2.25,1.66,11.08,13.27,3.86,6.05,-31.0,-1783.83,84.4
23.72,80.8,3.06,0.35,0.5,2.13,1.63,12.45,12.55,2.5,2.61,-44.0,-1462.71,73.74
24.75,116.9,2.44,0.31,1.04,2.68,1.96,13.53,13.82,2.02,2.31,-44.0,-1732.64,72.63
23.9,120.1,2.28,0.47,1.24,2.17,1.66,10.19,15.56,2.06,3.54,-41.0,-1663.76,80.73
20.28,124.2,1.91,0.73,2.32,2.66,1.78,12.35,12.74,1.09,1.48,-44.0,-1321.79,62.49
24.75,85.6,2.89,0.64,0.5,2.36,1.81,11.37,16.34,6.71,1.9,-38.0,-1413.51,33.48
21.24,124.8,0.53,0.98,0.77,2.63,1.97,10.88,16.58,10.88,5.18,-25.0,-1689.62,65.12
24.11,91.6,1.29,0.17,0.94,2.32,1.75,10.16,17.5,7.58,0.24,-37.0,-1341.01,23.03
15.44,136.1,1.13,0.38,3.85,2.19,1.69,10.16,14.57,2.89,7.3,-48.0,-1027.12,87.69
23.98,98.6,1.14,0.28,0.5,2.46,1.61,10.07,13.71,8.75,5.31,-28.0,-1642.66,46.61
20.52,118.7,1.57,0.58,2.58,2.58,1.84,12.17,16.84,3.12,5.64,-41.0,-1513.53,80.66
20.12,134.4,2.07,0.72,1.34,2.28,1.76,11.54,15.87,7.87,3.54,-44.0,-1434.1,49.54
17.52,115.4,1.14,0.58,3.77,2.1,1.6,12.47,14.96,5.0,2.61,-48.0,-1164.96,56.66
17.56,119.5,0.98,0.58,3.77,2.17,1.61,12.47,14.96,4.56,2.07,-48.0,-1127.19,54.07
15.8,138.4,1.14,0.15,3.15,2.3,1.8,10.8,13.74,6.54,3.6,-48.0,-1239.92,50.62
21.17,95.7,3.16,0.9,0.5,2.17,1.61,10.07,13.39,8.81,5.49,-39.0,-1364.57,56.13
24.19,91.6,0.55,0.72,0.94,2.33,1.76,10.11,17.58,7.92,0.45,-34.0,-1144.55,59.13
21.33,103.6,0.53,0.14,1.18,2.25,1.53,13.03,16.5,8.64,5.17,-29.0,-1633.23,51.1
20.46,123.9,1.5,0.24,2.6,2.31,1.8,12.17,16.46,5.04,6.08,-45.0,-1653.1,85.8
21.69,101.2,0.63,0.59,3.23,2.14,1.57,13.18,13.72,2.65,2.7,-46.0,-1320.67,28.09
21.05,123.8,1.91,0.6,2.17,2.46,1.57,14.19,14.95,2.23,1.47,-43.0,-1447.6,58.89
19.17,117.6,1.03,0.3,1.18,2.31,1.59,11.73,13.17,7.22,5.78,-29.0,-1467.4,76.83
23.51,93.8,2.66,0.46,0.86,2.4,1.74,10.02,14.97,8.7,4.51,-39.0,-1570.76,44.28
24.39,130.0,2.08,0.71,1.29,2.48,1.76,10.75,16.06,2.28,1.11,-40.0,-1538.54,63.62
15.44,136.1,1.13,0.38,3.98,2.19,1.69,10.31,14.57,2.89,7.15,-48.0,-1032.07,87.35
23.64,85.8,1.52,0.45,1.84,2.24,1.7,11.59,15.09,6.84,4.27,-46.0,-1568.22,54.58
24.17,85.6,2.89,0.64,0.5,2.29,1.79,11.26,16.34,6.93,1.9,-39.0,-1362.74,34.74
21.15,135.9,3.8,0.56,0.5,2.52,1.7,10.71,14.83,8.79,7.0,-25.0,-1887.5,66.9
17.91,120.1,1.46,0.4,3.25,2.08,1.58,14.36,16.76,9.02,8.33,-45.0,-1563.71,61.14
17.52,119.5,1.17,0.55,1.26,2.18,1.62,12.47,14.96,5.0,2.51,-43.0,-1017.08,37.47
24.81,130.0,1.99,0.75,1.29,2.5,1.76,12.47,13.51,2.28,3.32,-42.0,-1760.31,75.35
21.55,138.4,1.14,0.15,0.59,2.3,1.8,10.8,13.74,6.54,3.6,-41.0,-1485.32,57.24
16.19,138.6,1.15,0.82,0.63,2.37,1.78,10.85,13.74,5.52,3.6,-38.0,-925.05,87.46
21.69,107.5,0.9,0.95,2.07,2.48,1.69,11.18,12.24,1.09,0.03,-43.0,-1241.54,54.46
24.4,139.2,3.19,0.57,0.5,2.48,1.67,12.0,14.95,4.54,1.84,-40.0,-1658.37,49.75
17.79,122.6,0.55,0.69,3.61,2.28,1.78,11.63,16.88,8.95,5.63,-48.0,-1085.82,63.09
22.49,119.4,0.75,0.3,2.63,2.64,1.67,10.45,17.18,3.55,3.32,-40.0,-1413.25,50.58
24.81,130.0,1.92,0.75,1.29,2.4,1.66,12.52,13.26,3.91,3.33,-42.0,-1783.73,67.3
21.05,124.1,0.71,0.6,3.35,2.33,1.8,14.21,14.95,4.71,3.97,-47.0,-1397.47,28.52
19.35,119.6,1.03,0.3,1.24,2.31,1.59,11.73,13.51,5.16,3.38,-41.0,-1221.63,52.92
23.45,108.2,3.35,0.35,0.51,2.5,1.7,10.77,14.98,6.52,3.57,-38.0,-1559.04,54.32
18.3,119.4,1.43,0.81,1.53,2.28,1.72,14.34,17.11,3.64,2.68,-42.0,-1255.2,34.74
20.12,134.6,3.99,0.72,0.5,2.2,1.69,10.7,14.83,7.92,7.01,-25.0,-1801.14,80.83
23.72,80.8,3.06,0.35,0.5,2.13,1.63,12.45,12.55,2.5,2.6,-44.0,-1461.71,73.73
24.81,130.0,2.08,0.71,0.51,2.5,1.76,10.06,12.96,1.99,4.53,-35.0,-1773.44,86.87
21.38,120.1,1.63,0.52,2.35,2.04,1.53,14.34,16.84,7.28,4.78,-43.0,-1755.29,48.81
24.17,116.8,0.64,0.31,0.96,2.66,1.93,13.53,13.72,2.02,2.21,-42.0,-1546.93,66.86
15.74,135.4,1.86,0.81,3.45,2.23,1.67,10.8,13.34,5.52,7.11,-48.0,-1075.03,61.23
21.15,135.9,0.5,0.56,3.8,2.52,1.7,12.43,14.83,8.79,7.0,-33.0,-1469.99,91.9
20.12,97.9,1.34,0.9,2.07,2.09,1.59,11.64,16.88,8.96,5.8,-44.0,-1339.33,38.25
21.22,124.8,0.53,0.9,0.77,2.54,1.97,10.64,16.58,9.84,3.9,-25.0,-1532.47,74.86
23.52,93.8,0.73,0.71,1.22,2.41,1.91,10.75,16.04,0.99,1.13,-40.0,-1219.5,71.1
24.04,101.9,3.19,0.17,0.5,2.41,1.83,14.37,17.5,0.39,0.29,-33.0,-1532.86,56.55
24.81,129.9,2.08,0.71,0.97,2.31,1.55,10.75,13.59,2.06,4.6,-33.0,-1848.32,81.88
20.84,118.6,0.99,0.6,3.35,2.08,1.55,14.21,15.06,4.71,5.56,-46.0,-1433.17,41.7
20.28,124.2,2.17,0.73,2.31,2.66,1.78,12.33,12.74,1.09,1.5,-44.0,-1344.24,68.18
21.09,136.3,2.32,0.8,1.74,2.34,1.78,11.44,12.66,4.56,3.35,-45.0,-1554.7,75.34
20.28,119.0,1.91,0.73,2.32,2.31,1.78,12.35,12.74,1.09,1.48,-46.0,-1433.01,60.99
22.49,111.1,0.7,0.3,2.6,2.66,1.72,10.45,17.19,3.08,3.32,-41.0,-1352.29,49.48
21.22,132.5,0.99,0.71,3.06,2.62,1.67,11.35,11.39,2.09,2.05,-44.0,-1310.9,41.99
20.12,135.4,0.61,0.71,3.62,2.28,1.77,11.63,16.88,7.96,6.0,-43.0,-1350.4,69.84
19.99,134.7,0.64,0.17,3.62,2.13,1.63,12.46,17.05,7.27,2.68,-48.0,-1382.43,29.52
21.69,108.6,0.9,0.95,2.09,2.48,1.69,11.18,12.16,1.03,0.05,-44.0,-1241.61,55.58
15.8,138.4,1.3,0.15,3.19,2.29,1.79,10.75,13.74,6.61,3.62,-48.0,-1270.28,42.44
23.9,120.1,2.28,0.47,1.28,2.16,1.66,10.19,15.56,2.01,3.54,-41.0,-1673.14,81.13
23.63,108.2,3.33,0.35,0.5,2.66,1.86,10.28,16.0,0.13,3.37,-35.0,-1487.39,88.7
23.73,96.3,2.87,0.86,0.56,2.31,1.81,11.26,11.88,2.55,2.64,-44.0,-1498.07,79.13
